system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
3_0,258,0.009366875672678295,36,0,28538.615381363947,36665.962058302575,69896.5450285147,53452.551049764894,0.0,6442.736818579028,497.03246702827164,28538.615381363947,62601.4140929054,32,-13249,-69392,0,0.829737709867512,40,1.2525419,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.39184657974383,-13.248500612762369]}"
13_0,945,0.2806801943492348,29,0,14096.329445676844,341.65535207119297,21432.018379037865,14096.329445676844,0.0,25610.243334945753,1363.1828907751228,15957.25256291657,21458.14148570693,22,-13211,-70204,0,0.9687982666040856,42,25.52141,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20573034164258,-13.20798211966076]}"
14_0,254,0.17598886248573728,37,0,6898.314080570452,12312.113402131476,32302.1872002161,19983.40829374244,14799.071314689982,1918.4476442130542,4055.940474928148,6898.314080570452,26595.915704073108,24,-12410,-68949,0,0.8888451516384385,41,1.5123222,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.94985864874815,-12.407813238929057]}"
24_0,349,0.032803458571130144,39,0,18385.577768418887,0.0,28531.561518346385,41418.53757109924,9519.978173520505,9431.341780753117,829.465344488488,18385.577768418887,21363.512234929993,28,-12832,-70741,0,0.837022279735284,35,2.11158,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74007924764804,-12.830694841840801]}"
25_0,234,0.015201018677137327,33,0,37515.53951907722,29899.897003757134,53558.713717677914,49545.463377543136,0.0,2952.9788484452106,815.2002006156207,37515.53951907722,56802.59820127974,39,-13115,-69259,0,0.8149758514524207,38,1.5052851,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.2587819598869,-13.113032622167422]}"
46_0,235,0.1198546845443259,38,0,361.4955545582449,238.72719184147994,29253.912441453205,361.4955545582449,17103.045588354445,9541.220558620817,968.6272654742958,870.7563302409857,15245.644103247614,30,-12703,-69451,0,0.8797621270805055,39,3.658726,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.45177819169879,-12.700427299498342]}"
49_0,296,0.213244894299094,34,0,10692.703966137533,0.0,29472.19519433034,42961.839812488965,7589.841732724552,11408.464813530087,364.11579563779515,10692.703966137533,23373.069688282045,30,-12778,-70688,0,0.9443038839173428,40,3.8611598,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.68997729181264,-12.776786060977301]}"
69_0,311,0.8649793214796471,33,0,6149.108377123411,0.0,20601.460878726324,32262.565709905255,5020.841471782077,21779.385821455176,397.45318069435046,6149.108377123411,16759.848392688116,26,-12821,-70600,0,0.9808215912987265,39,0.932963,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.60183905190527,-12.820726107125425]}"
70_0,285,0.08800362215274597,36,0,29145.88818444468,37019.34962902249,54928.627919937084,37214.55606021457,53273.39351381561,24376.916002859147,469.3349232245283,29145.88818444468,30072.278988638842,28,-12431,-69671,0,0.9498181006978108,38,4.926926,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.67211768252564,-12.428687399167469]}"
71_0,287,0.01463909366042513,37,0,22411.950494648045,7816.4091290560655,66079.36224450145,23430.857848266645,0.0,8428.67189404613,350.11095165217404,22411.950494648045,30274.70584552903,30,-13093,-69758,0,0.9314009967436602,38,4.7785683,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.75688496496814,-13.09035025107097]}"
75_0,239,0.050193772942393716,35,0,9150.947836443655,3556.2513842887147,41921.4254514645,22278.84731202921,0.0,6593.168687674058,884.9787447702739,9150.947836443655,27940.628598272644,24,-12920,-69436,0,0.8637166374777665,33,1.6359136,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.43649391034994,-12.917475522842466]}"
