system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_11,0,0,0,0,0,0,0,0,0,322,0.021358969308092203,41,0,35692.30747377836,0.0,35692.30747377836,88837.95700841892,4499.436366069053,16469.12391505076,999.8747480153452,52577.15651666539,7565.425271978995,24,-12371,-70895,0.0,0.9580188838660442,34,0.0,1.3909631,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.89480870841084,-12.371147772655618]}"
1_1_1_1_2_13,0,0,0,0,0,0,0,0,0,235,0.005466171256962076,33,0,33139.32541811871,27422.226738484875,55728.98098523194,47424.68027645752,0.0,7786.311184841477,223.69286107015128,33139.32541811871,53081.33084467822,34,-13120,-69324,0.0,0.8483921974826665,34,0.0,2.3399894,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.32443137153678,-13.119785414126646]}"
1_1_1_1_2_17,0,0,0,0,0,0,0,0,0,466,0.009649584543350152,31,0,25341.4409474475,3745.1999393807405,31688.435604962324,25341.4409474475,0.0,16230.295629191032,223.6588064860179,28631.122828794196,35301.551031678304,31,-13238,-70073,0.0,0.8725980147259609,39,0.0,7.4387736,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07413870718801,-13.23844923411614]}"
1_1_1_1_2_29,0,0,0,0,0,0,0,0,0,216,0.05043690071673097,36,0,8599.369051221232,4624.619598904359,18535.77102866113,16517.51255820172,0.0,2913.2092510880507,223.69627715736019,8599.369051221232,19764.930118664804,21,-12610,-69006,0.0,0.9326909401848548,34,0.0,3.600936,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.00639918881765,-12.611602961616795]}"
1_1_1_1_2_33,0,0,0,0,0,0,0,0,0,280,0.0290961036715509,39,0,18971.286636121516,0.0,22554.553157029764,53102.30200005531,1931.373694713898,9014.125098640761,400.01095688118346,18971.286636121516,9898.250719281556,41,-12542,-70597,0.0,0.8941393523908898,38,0.0,2.3379946,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.59766222696803,-12.542553588481677]}"
1_1_1_1_2_39,0,0,0,0,0,0,0,0,0,223,0.006928212101893231,32,0,21933.17934624105,20759.43929380003,27923.34091164538,32473.72088933508,0.0,17288.111387417368,1500.5995871963146,21933.17934624105,32570.655288733444,34,-12861,-69054,0.0,0.9966690997910358,38,0.0,2.421748,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.05479207167964,-12.86172387487708]}"
1_1_1_1_2_48,0,0,0,0,0,0,0,0,0,288,0.01638911804289748,37,0,23000.251371078808,22990.028504945425,24577.54871169583,55147.04241277997,32474.482498192185,2408.7095303424403,1044.1999862708892,23000.251371078808,21384.0664841931,41,-12414,-70275,0.0,0.8103223228090256,36,0.0,5.2899475,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27513486423108,-12.414088303569368]}"
1_1_1_1_2_53,0,0,0,0,0,0,0,0,0,310,0.008474288374119553,38,0,36332.29920749752,44912.5531801322,64924.33615408653,44902.63766387061,58541.18490171911,31664.727560218966,1664.8589505406494,36332.29920749752,29761.736233506483,24,-12394,-69754,0.0,0.8148459242092129,36,0.0,0.94953525,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.75459014200364,-12.393792579155424]}"
1_1_1_1_2_54,0,0,0,0,0,0,0,0,0,279,0.3038320824381648,36,0,3373.548106686045,0.0,17918.519087498902,37864.418135322805,6092.839814076849,24182.276257946127,900.0326947186419,3373.548106686045,17678.311714587595,21,-12716,-70579,0.0,0.9646824211506863,38,0.0,3.8241773,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.57940090317166,-12.715684228720129]}"
1_1_1_1_2_56,0,0,0,0,0,0,0,0,0,378,0.1692095460357274,39,0,2864.0237722422544,0.0,9266.47475066368,8912.09779400135,2915.9438380731676,23941.46891842018,300.0481455507391,2864.0237722422544,9340.663642338102,31,-13120,-70283,0.0,0.8445121500930347,32,0.0,9.7077465,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.28393540827355,-13.120043930666705]}"
