system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
6_0,242,0.008499794924659927,34,0,54373.66923259426,46689.14642755988,63513.11176845801,65395.461683897374,0.0,13136.023876805319,1454.8986297421482,54373.66923259426,68179.06959775777,37,-13206,-69086,0,0.9443951093661032,40,1.5083542,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.08813903687222,-13.205381980023166]}"
17_0,246,0.020006928676903495,34,0,44650.73396919301,36042.48667477677,56859.86595193483,55388.99874135607,0.0,968.6936377249797,1854.11281626179,44650.73396919301,61299.24613737557,25,-13151,-69204,0,0.912524306371651,35,1.3998116,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.20438178344752,-13.151060321997873]}"
20_0,237,0.006028961378232304,35,0,33098.10390547162,25128.414764525674,43169.577127332734,43843.157957838834,0.0,3338.4184556865534,170.63796606109747,33098.10390547162,47704.91135813773,27,-13028,-69170,0,0.903942371002434,37,1.4982241,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.17015573974948,-13.026297123218066]}"
24_0,349,0.029559183253818264,39,0,18385.577768418887,0.0,28531.561518346385,41418.53757109924,9519.978173520505,9431.341780753117,829.465344488488,18385.577768418887,21363.512234929993,28,-12832,-70741,0,0.9346207901032673,35,2.11158,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74007924764804,-12.830694841840801]}"
26_0,893,0.21566073919356502,37,0,11512.643939790534,0.0,11512.643939790534,20237.20889329574,2904.337344051491,26731.224121954077,154.4458713393155,22162.177843750513,17767.118371365206,39,-13173,-70924,0,0.8050083783955635,39,7.1328235,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.92508157667841,-13.171045136406276]}"
27_0,260,0.1940363206089872,37,0,19149.70156011309,36216.82374665106,36212.679864609185,36316.686945397196,47943.98260781559,1933.7182033213167,184.2516596842495,19149.70156011309,4554.923295919343,26,-12550,-70058,0,0.8331525802968028,32,2.4960053,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05899836704806,-12.546800925124503]}"
30_0,258,0.005986517806485594,38,0,50886.204252274234,46062.95574662152,66376.37088777884,65504.89828532163,0.0,4068.24146099914,646.9435524334478,50886.204252274234,70892.96890145261,26,-13239,-69175,0,0.8945140646375209,37,1.8313893,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.17583971599194,-13.237889844405009]}"
34_0,780,0.1652629471551529,40,0,273.98501363098165,33.835586265309914,273.98501363098165,28434.192915203446,40.08503687629126,15640.655902844788,707.700232769573,20427.87129297329,10694.657039988053,26,-13076,-70846,0,0.9949696423232429,33,13.909685,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84687986466267,-13.074005510492698]}"
37_0,244,0.283120732918578,37,0,4433.143320708325,29417.839056162786,28203.10130503957,13350.358842406557,35361.393255148425,12907.623648179899,93.1168940230909,4433.143320708325,6884.351199494644,25,-12359,-69284,0,0.9415198279599679,39,1.7694403,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.28561338175776,-12.358835145814501]}"
50_0,268,0.05677192604877869,36,0,15969.047372410138,24258.537959729496,62633.52489591113,36822.237725046085,0.0,16158.424715108098,2280.5816134465704,15969.047372410138,47251.369662448626,23,-13202,-69647,0,0.9984893453723983,40,1.8709928,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64647824048313,-13.199155607852088]}"
