system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_0,0,0,0,0,0,0,0,0,0,277,0.023009578343982637,35,0,21213.596721888214,5725.887404016653,34717.5800504524,21213.596721888214,0.0,8704.394409724267,0.0,24019.113005323492,21932.88921689048,31,-13094,-70046,0.0,0.8284580001359028,38,0.0,4.3994174,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.0469441269708,-13.093721532571715]}"
1_1_1_1_2_6,0,0,0,0,0,0,0,0,0,257,0.27254874349148045,33,0,2102.8770126825652,2280.8903654877845,32791.28880927734,2302.7175648771495,15905.019939852618,12345.12409748974,1562.4195054265995,2102.8770126825652,3225.6660891589504,24,-12867,-70059,0.0,0.8137063734232047,34,0.0,1.4699901,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05981926562113,-12.867183642793169]}"
1_1_1_1_2_9,0,0,0,0,0,0,0,0,0,248,0.10768343623920418,34,0,4401.300257097328,0.0,55448.952696667104,4401.300257097328,10986.869977671075,10468.750863292875,700.2068590836657,6042.480428071969,12020.206186160556,24,-12931,-69848,0.0,0.9365589705636785,34,0.0,0.92740995,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.84798801676112,-12.931970863671637]}"
1_1_1_1_2_10,0,0,0,0,0,0,0,0,0,213,0.004760212806375976,34,0,44004.95881565153,41485.83392538199,50612.307281369314,55010.78670297024,0.0,2341.87525687215,2122.167873749624,44004.95881565153,55205.10625803502,42,-13030,-68935,0.0,0.9449277259523315,36,0.0,3.8304396,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.935302633717,-13.031001875997402]}"
1_1_1_1_2_11,0,0,0,0,0,0,0,0,0,322,0.028528840976077073,41,0,35692.30747377836,0.0,35692.30747377836,88837.95700841892,4499.436366069053,16469.12391505076,999.8747480153452,52577.15651666539,7565.425271978995,24,-12371,-70895,0.0,0.9144755337129048,34,0.0,1.3909631,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.89480870841084,-12.371147772655618]}"
1_1_1_1_2_12,0,0,0,0,0,0,0,0,0,233,0.005348500938961902,37,0,28711.235364288223,18667.422889199748,40516.34879982815,37967.45955574572,0.0,2263.627509110101,600.2348856645622,28711.235364288223,44735.511352904636,41,-12998,-69243,0.0,0.8845520151559668,36,0.0,1.500902,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.24404692195301,-12.998612849234693]}"
1_1_1_1_2_20,0,0,0,0,0,0,0,0,0,256,0.008409501933761243,33,0,24435.16638446172,9851.64134583833,50828.237384069194,24435.16638446172,0.0,806.4536352576708,141.46132560040925,28898.648065838708,26668.55533509704,21,-13132,-69899,0.0,0.9963171916215366,36,0.0,3.3197777,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8993171607597,-13.13198199828182]}"
1_1_1_1_2_25,0,0,0,0,0,0,0,0,0,225,0.36610088661333356,35,0,7153.004364426181,14343.731557722349,44165.28355365784,14413.675084359991,30341.52648083975,6142.162027739093,200.0693629719453,7153.004364426181,10031.93752161067,21,-12628,-69604,0.0,0.8296688208610039,35,0.0,5.427594,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6041761708838,-12.628010310040267]}"
1_1_1_1_2_32,0,0,0,0,0,0,0,0,0,266,0.00932238591768387,34,0,23844.843484223362,34553.91079358253,47429.62143896733,34671.5796068985,51090.80705606096,21399.986202810243,781.2974779323414,23844.843484223362,32612.755408385052,31,-12422,-69592,0.0,0.9892001458915126,35,0.0,2.9946706,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.59210477464211,-12.42213734787332]}"
1_1_1_1_2_37,0,0,0,0,0,0,0,0,0,253,0.06728161963881632,34,0,6833.339943197388,16136.684404617288,28493.516071506296,16217.722489067999,33278.808267442095,8589.794542378382,1221.1072040205713,6833.339943197388,23559.722341977096,24,-12550,-69454,0.0,0.80961840870944,36,0.0,1.4697993,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.45432449902306,-12.551534661101677]}"
1_1_1_1_2_38,0,0,0,0,0,0,0,0,0,207,0.20237309401301967,37,0,5562.74012894612,15039.14853546819,13945.656201716878,10904.243148723546,23281.5754971793,8930.400633488365,4493.96421733849,5562.74012894612,7516.246286040785,41,-12504,-69273,0.0,0.8778624729905822,37,0.0,2.7195795,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.27311737837528,-12.504304781160556]}"
1_1_1_1_2_39,0,0,0,0,0,0,0,0,0,223,0.005951113821102237,32,0,21933.17934624105,20759.43929380003,27923.34091164538,32473.72088933508,0.0,17288.111387417368,1500.5995871963146,21933.17934624105,32570.655288733444,34,-12861,-69054,0.0,0.8467546107924092,38,0.0,2.421748,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.05479207167964,-12.86172387487708]}"
1_1_1_1_2_43,0,0,0,0,0,0,0,0,0,324,0.006462139077573505,36,0,28002.85049882548,34096.61361627656,35140.540693887866,58494.538800660295,44097.0274629079,7434.502325583169,447.30191583118665,28002.85049882548,22692.803710734075,21,-12365,-70176,0.0,0.8225879561052709,37,0.0,6.127436,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.17667628525133,-12.365438769145113]}"
1_1_1_1_2_51,0,0,0,0,0,0,0,0,0,264,0.2089893950054969,37,0,761.8489830976183,671.0596906374556,40299.97619114478,761.8489830976183,16915.792603721216,8125.0891989695065,282.9436091123106,1414.718045561553,5282.035067019032,21,-12737,-69546,0.0,0.9813457242711779,38,0.0,5.628677,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.54557125414176,-12.73691858197147]}"
1_1_1_1_2_53,0,0,0,0,0,0,0,0,0,310,0.005975276638812924,38,0,36332.29920749752,44912.5531801322,64924.33615408653,44902.63766387061,58541.18490171911,31664.727560218966,1664.8589505406494,36332.29920749752,29761.736233506483,24,-12394,-69754,0.0,0.8412646301433527,36,0.0,0.94953525,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.75459014200364,-12.393792579155424]}"
1_1_1_1_2_54,0,0,0,0,0,0,0,0,0,279,0.32246435278082997,36,0,3373.548106686045,0.0,17918.519087498902,37864.418135322805,6092.839814076849,24182.276257946127,900.0326947186419,3373.548106686045,17678.311714587595,21,-12716,-70579,0.0,0.885093563635061,38,0.0,3.8241773,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.57940090317166,-12.715684228720129]}"
1_1_1_1_2_62,0,0,0,0,0,0,0,0,0,232,0.00747082086081981,33,0,19867.022868124408,10008.031691442331,62630.254090303795,24866.170697421836,0.0,7104.620199263381,1140.578034135817,19867.022868124408,37390.33034078683,21,-13054,-69568,0.0,0.8100567576468473,33,0.0,1.9143801,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.56839477683393,-13.054258295738924]}"
1_1_1_1_2_63,0,0,0,0,0,0,0,0,0,304,0.11497767985053052,34,0,6871.0761448751155,0.0,23345.00971128352,35089.79919532683,5664.904850639318,19553.610032690816,1421.2924397247564,6871.0761448751155,18860.082532658012,24,-12802,-70618,0.0,0.8158628471112198,37,0.0,1.0580477,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.61890418622815,-12.802768484256724]}"
1_1_1_1_2_64,0,0,0,0,0,0,0,0,0,213,0.004565239829170919,34,0,49845.6005884907,47187.15847098053,56299.03068845823,60805.363456042964,0.0,5302.117247998523,806.5478465106316,49845.6005884907,60938.043313154856,41,-13088,-68930,0.0,0.9845845470377617,37,0.0,0.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.93141337770035,-13.087969694091969]}"
1_1_1_1_2_66,0,0,0,0,0,0,0,0,0,304,0.03493867403247615,38,0,8521.5175405755,1166.2406584566927,16108.456578996695,42786.888763345196,0.0,18780.852286944366,282.8549070415785,8521.5175405755,9183.532643565311,21,-12635,-70564,0.0,0.8685968885809234,35,0.0,3.3978064,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.56399287799407,-12.635230301562475]}"
1_1_1_1_2_67,0,1,10,0,10,0,0,0,0,207,0.9475631197192911,34,0,806.5092031257687,5605.540222976395,42434.95517896791,5577.800927998669,21418.972721089074,5948.517962747108,1170.8814692525725,806.5092031257687,2052.5497722059786,21,-12703,-69576,-5.0,0.8458583972871646,40,4.0,0.66408557,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.57672297314743,-12.703485749861423]}"
1_1_1_1_2_68,0,0,0,0,0,0,0,0,0,251,0.008863065775061948,35,0,25233.532801348265,35307.84294235755,48823.98664763017,35429.36252882938,51821.62399120601,22056.905733292326,500.17330980746067,25233.532801348265,32955.31069387281,42,-12419,-69604,0.0,0.8160592683300324,34,0.0,5.281372,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.60452009674839,-12.419939699709516]}"
1_1_1_1_2_71,0,0,0,0,0,0,0,0,0,488,0.01861777807754535,40,0,10625.008462312808,2183.944025349408,10625.008462312808,22896.447301647244,0.0,9912.214544873097,99.99592765145489,20779.192262925175,12375.682810313312,21,-13023,-70740,0.0,0.987331097529349,34,0.0,12.6256485,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74007733918755,-13.023270526966195]}"
1_1_1_1_2_76,0,0,0,0,0,0,0,0,0,341,0.007322016558080356,38,0,29003.97873097004,19592.73620209198,29003.97873097004,63075.36331434269,33495.638470302416,3256.2108023072615,583.1751887565606,30325.769508605423,28905.349250999643,21,-12349,-70340,0.0,0.8926171272425922,33,0.0,1.4974506,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.34048081951839,-12.349492468569498]}"
1_1_1_1_2_81,0,0,0,0,0,0,0,0,0,230,0.08604839014982675,31,0,922.3188338367595,0.0,7470.2131997688,10982.954704051639,538.7293209488416,13613.096636373739,200.07904687897732,922.3188338367595,11911.426736804035,21,-12705,-69184,0.0,0.9813040715158219,34,0.0,2.5497897,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.18352551435318,-12.705405404319379]}"
1_1_1_1_2_84,0,0,0,0,0,0,0,0,0,230,0.0832641042797171,35,0,3539.556061610163,510.07413868292224,60427.35189248559,7928.583364878503,0.0,2974.2177654647703,1000.337687124328,3539.556061610163,24241.2184870786,24,-12927,-69654,0.0,0.8087411595686229,37,0.0,1.9581375,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65466588230503,-12.926830783586686]}"
1_1_1_1_2_85,0,0,0,0,0,0,0,0,0,322,0.005526257804961943,37,0,44558.202342532255,58430.106611947864,58809.62579744532,58411.52413732176,68689.31599225877,27449.20274656215,1628.334592435435,44558.202342532255,30918.137955711973,24,-12348,-69913,0.0,0.8618430397317263,36,0.0,2.0829306,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.91366613161081,-12.348816863872889]}"
