system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_0,337,97.65173,12830,0,17656,12830,9464,10303,17782,0,31,-13.043088767773394,-70.21636502556035,0,0.0,1571.5,1224.5,347.0,0.0,5.1097727,
1_1_1_1_1,303,1.4816811,17837,0,17837,30594,10040,3622,20009,0,24,-12.796052064640525,-70.56131809466224,0,40.5,1571.5,1224.5,347.0,-6.9,0.6642095,
1_1_1_1_2,372,2.3991828,2069,8774,2165,20508,13745,2914,2361,0,41,-12.997274688283298,-70.55502988767341,0,0.0,1571.5,1224.5,347.0,0.0,1.0587142,
1_1_1_1_3,298,92.48413,18852,4864,18774,46546,0,12273,8941,0,42,-12.607405854975426,-70.58377597676522,0,0.0,1571.5,1224.5,347.0,0.0,2.3655758,
1_1_1_1_4,581,111.1834,3821,10683,3821,8227,18554,6006,5412,0,11,-12.985596589589745,-70.42297754090784,0,0.0,1571.5,1224.5,347.0,0.0,12.426849,
1_1_1_1_5,288,92.84101,2510,5430,2510,28852,11246,5528,8999,0,31,-12.6936441222509,-70.42657080204431,0,0.0,1571.5,1224.5,347.0,0.0,3.5411391,
1_1_1_1_6,272,110.702965,20994,22484,20994,28035,32533,2365,6259,0,24,-12.65771151088612,-70.19929703516208,0,0.0,1571.5,1224.5,347.0,0.0,3.7349863,
1_1_1_1_7,251,54.018013,13629,0,39033,13629,440,15517,13751,0,21,-13.017037624533927,-70.01783734776993,0,8.5,1571.5,1224.5,347.0,1.8,4.047259,
1_1_1_1_8,243,13.192662,13106,0,50142,13106,0,19126,15423,0,31,-13.03230898436396,-69.91453109009619,0,-6.0,1571.5,1224.5,347.0,6.2,5.282292,
1_1_1_1_9,291,99.83921,749,8883,749,27637,13908,5877,7794,0,24,-12.689152545830302,-70.38973987539542,0,0.0,1571.5,1224.5,347.0,0.0,1.3909631,
