system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_0,265,52.33277,11447,0,11430,35204,5762,1839,12211,0,21,-12.681966023557345,-70.51191075403567,0,0.0,1571.5,1224.5,347.0,0.0,7.7279887,
1_1_1_1_1,254,103.233475,4331,4359,64935,4331,12563,7008,18061,0,41,-12.840967828846502,-69.76990232935295,0,0.0,1571.5,1224.5,347.0,0.0,4.0505714,
1_1_1_1_2,310,122.24139,43285,43304,59445,43285,53196,32018,17717,0,24,-12.474455192925737,-69.8597338577649,0,0.0,1571.5,1224.5,347.0,0.0,0.66378146,
1_1_1_1_3,242,76.790665,20013,19920,39724,20013,34735,10983,8384,0,31,-12.69454243753502,-70.02771881589524,0,0.0,1571.5,1224.5,347.0,0.0,6.4528885,
1_1_1_1_4,240,88.85317,18931,18813,39072,18931,35227,11564,18060,0,41,-12.557998514348853,-69.55071340002777,0,0.0,1571.5,1224.5,347.0,0.0,2.9950283,
1_1_1_1_5,633,94.07717,4824,8591,15643,4824,10915,7518,15696,0,31,-13.138310187890063,-70.61611532699354,0,0.0,1571.5,1224.5,347.0,0.0,6.955848,
1_1_1_1_6,253,98.384544,28885,28943,28845,42732,40216,15053,7767,0,21,-12.501404651449322,-70.14449980283078,0,0.0,1571.5,1224.5,347.0,0.0,3.6533127,
1_1_1_1_7,291,113.08078,21832,21355,21772,46600,32337,14207,11907,0,21,-12.486133291619291,-70.2280431242539,0,0.0,1571.5,1224.5,347.0,0.0,1.6841398,
1_1_1_1_8,302,109.80877,16746,0,16720,48416,2307,13446,3789,0,24,-12.554405253212375,-70.54155515841161,0,0.0,1571.5,1224.5,347.0,0.0,2.7802885,
1_1_1_1_9,521,119.929085,4131,12302,4131,9842,20342,4999,5318,0,21,-12.975715121464429,-70.43824890073788,0,0.0,1571.5,1224.5,347.0,0.0,15.086945,
