system:index,altitude,carbon_density,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_vec,distance_villages,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_0,265,52.33277,11447,0,11430,35204,5762,1839,12211,0,21,-12.681966023557345,-70.51191075403567,0,0.0,1571.5,1224.5,347.0,0.0,7.7279887,
1_1_1_1_1,242,76.790665,20013,19920,39724,20013,34735,10983,8384,0,31,-12.69454243753502,-70.02771881589524,0,0.0,1571.5,1224.5,347.0,0.0,6.4528885,
1_1_1_1_2,521,119.929085,4131,12302,4131,9842,20342,4999,5318,0,21,-12.975715121464429,-70.43824890073788,0,0.0,1571.5,1224.5,347.0,0.0,15.086945,
1_1_1_1_3,319,101.5267,10850,8167,10850,18794,15682,6607,17051,0,24,-12.855340873392414,-70.46968993568206,0,0.0,1571.5,1224.5,347.0,0.0,1.3283998,
1_1_1_1_4,295,97.13044,15965,0,15965,35151,8674,2461,18598,0,24,-12.733169994752158,-70.559521464094,0,0.0,1571.5,1224.5,347.0,0.0,1.7008543,
1_1_1_1_5,499,31.892887,4096,11378,4148,16596,15814,3713,4316,0,21,-13.03320729964808,-70.54963999596869,0,0.0,1571.5,1224.5,347.0,0.0,9.560809,
1_1_1_1_6,305,75.79218,19991,4008,19903,46318,0,11978,10910,0,41,-12.621778899521338,-70.59635239074291,0,0.0,1571.5,1224.5,347.0,0.0,4.444209,
1_1_1_1_7,246,85.27904,6799,6810,41578,6799,19803,5988,6226,0,41,-12.827493099584709,-69.98819294339398,0,0.0,1571.5,1224.5,347.0,0.0,0.66425157,
1_1_1_1_8,249,89.19234,3285,3205,36411,3285,18112,709,5470,0,34,-12.847256035835338,-70.03221039231585,0,21.0,1571.5,1224.5,347.0,-0.8,0.47564209,
1_1_1_1_9,482,109.06305,5598,12261,5598,9869,20958,6058,6583,0,21,-12.962240392202636,-70.43735058545374,0,0.0,1571.5,1224.5,347.0,0.0,10.139505,
1_1_1_1_10,299,74.394745,16541,0,27024,16541,2402,18226,20008,0,31,-13.065546649876381,-70.12294023601191,0,0.0,1571.5,1224.5,347.0,0.0,2.9977252,
1_1_1_1_11,268,65.76911,10995,0,10995,34424,6546,1321,12903,0,31,-12.688254230546182,-70.5083174928992,0,4.0,1571.5,1224.5,347.0,0.9,5.428021,
