system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_0,704.0869701591214,8536.82047136133,3804.361067650735,362,0,41,-13.042375000000007,-70.429375,0,56.0,1571.5,1224.5,347.0,-15.8,14.970455,
1_1_1_1_1,6526.191698785321,15654.846187824034,6698.872847256175,393,0,31,-13.039874999999995,-70.578375,0,0.0,1571.5,1224.5,347.0,3.9,5.4300985,
1_1_1_1_2,7962.874563139154,21635.075584122667,949.9127459801693,308,0,24,-12.799374999999998,-70.454375,0,0.0,1571.5,1224.5,347.0,0.0,1.3282492,
1_1_1_1_3,12924.144844051083,29637.730118683023,2491.5733403835925,330,0,41,-12.905375000000006,-70.60912499999999,0,-3.0,1571.5,1224.5,347.0,7.3,3.3671362,
1_1_1_1_4,2008.8399748196953,18223.468349786734,649.2655531790685,417,0,21,-13.008875000000003,-70.515875,0,0.0,1571.5,1224.5,347.0,0.0,3.401341,
1_1_1_1_5,39982.61276861396,2983.867374244385,7070.007579137903,257,0,24,-12.922875000000005,-69.993375,0,0.0,1571.5,1224.5,347.0,0.0,1.9024856,
1_1_1_1_6,12957.350538140954,19566.16907260423,6328.457725724277,303,0,41,-12.872875000000008,-70.493625,0,0.0,1571.5,1224.5,347.0,0.0,0.0,
1_1_1_1_7,31106.360703763883,0.0,4525.91714928989,245,0,42,-12.897125000000003,-70.074625,0,6.0,1571.5,1224.5,347.0,3.6,1.9022912,
1_1_1_1_8,4677.408213054825,32758.83969751732,2995.267147829261,290,0,24,-12.666375000000002,-70.450625,0,0.0,1571.5,1224.5,347.0,11.2,2.083463,
1_1_1_1_9,13838.745775985039,33931.86303478957,1703.8158530009925,285,0,41,-12.727374999999995,-70.540375,0,26.5,1571.5,1224.5,347.0,-4.0,2.0835671,
1_1_1_1_10,39918.95516621771,637.1592379705799,5345.897529005303,251,0,21,-12.896875000000009,-69.994125,0,-33.5,1571.5,1224.5,347.0,20.6,3.8003936,
1_1_1_1_11,7198.646977294478,20913.364293231287,5060.496821442929,350,0,21,-12.925624999999997,-70.532125,0,0.0,1571.5,1224.5,347.0,0.0,1.3285913,
1_1_1_1_12,4787.752706695361,26563.990881310707,4894.847107145589,300,0,24,-12.738375000000005,-70.456125,0,0.0,1571.5,1224.5,347.0,0.0,2.8503315,
1_1_1_1_13,49293.77463706845,13353.769239679717,7405.79844699903,244,0,21,-12.773875000000004,-69.925375,0,9.0,1571.5,1224.5,347.0,-2.7,3.399102,
1_1_1_1_14,13215.2507104607,33238.35683102304,992.9367540699698,279,0,42,-12.730374999999995,-70.53462499999999,0,23.5,1571.5,1224.5,347.0,12.0,2.6547005,
1_1_1_1_15,4090.245683024133,23318.68779107713,4514.898892178185,356,0,41,-12.970124999999996,-70.560875,0,0.0,1571.5,1224.5,347.0,0.0,2.0839856,
1_1_1_1_16,0.0,30868.24864797781,2653.8547162189125,273,0,42,-12.663125000000008,-70.40362499999999,0,59.0,1571.5,1224.5,347.0,-15.4,2.9378004,
1_1_1_1_17,11594.745363282786,36471.99443749404,2959.7981523305034,274,0,21,-12.671374999999998,-70.516875,0,-4.0,1571.5,1224.5,347.0,2.4,2.0834715,
1_1_1_1_18,33863.48878929077,2792.6899837717374,4663.886664909442,258,0,34,-12.918125000000003,-70.049125,0,0.0,1571.5,1224.5,347.0,0.0,0.0,
1_1_1_1_19,18836.839836355455,31001.18220283918,4301.604875892343,304,0,41,-12.800125000000008,-70.569375,0,69.5,1571.5,1224.5,347.0,-5.7,0.95103973,
1_1_1_1_20,14054.249250219831,31410.986620191627,367.6207251483433,288,0,31,-12.760874999999999,-70.53762499999999,0,57.5,1571.5,1224.5,347.0,-15.6,3.9787414,
1_1_1_1_21,11228.978144316043,22320.36205914169,2916.158428812398,311,0,21,-12.818624999999997,-70.477875,0,0.0,1571.5,1224.5,347.0,2.2,2.9379888,
1_1_1_1_22,32245.833929946788,1342.3321813618375,2874.3381424921554,255,0,34,-12.879625000000004,-70.065625,1,-5.0,1571.5,1224.5,347.0,3.0,3.9797015,
1_1_1_1_23,4739.899556836509,26346.021890883538,4674.25774533761,299,0,41,-12.740125000000006,-70.455125,0,0.0,1571.5,1224.5,347.0,0.0,3.7047918,
1_1_1_1_24,13808.016223469174,28081.488413859402,301.39272443245926,288,0,24,-12.789124999999999,-70.523375,0,-15.0,1571.5,1224.5,347.0,18.6,3.3992462,
1_1_1_1_25,7201.6064188035525,21261.940672355973,4753.051743469519,348,0,31,-12.926375000000007,-70.535625,0,0.0,1571.5,1224.5,347.0,0.0,8.695656,
1_1_1_1_26,5333.842237498816,29362.94381475788,5398.495534906487,291,0,24,-12.709625000000003,-70.460625,0,-51.5,1571.5,1224.5,347.0,33.6,1.3280079,
1_1_1_1_27,12036.270122251764,21193.789961988412,4975.743845629694,314,0,24,-12.837125,-70.482625,0,0.0,1571.5,1224.5,347.0,0.0,1.3283513,
1_1_1_1_28,12325.869058359463,25434.87884563779,306.2764930943411,297,0,21,-12.885874999999999,-70.561875,0,0.5,1571.5,1224.5,347.0,0.3,4.1621804,
1_1_1_1_29,3785.9685893017772,21760.027765985615,3859.2702449725475,373,0,31,-12.964375000000004,-70.546375,0,0.0,1571.5,1224.5,347.0,0.0,8.581727,
1_1_1_1_30,9460.280245627275,26252.62854340472,1569.0210255562845,339,0,21,-12.924875,-70.58212499999999,0,-5.0,1571.5,1224.5,347.0,3.0,13.867594,
1_1_1_1_31,37917.006787153194,245.0179760624718,3330.9155274087066,258,0,21,-12.892624999999995,-70.012625,1,0.0,1571.5,1224.5,347.0,0.0,6.3250294,
1_1_1_1_32,3314.1615251534026,36944.54196128718,2636.0642966734117,257,0,21,-12.614874999999998,-70.432125,0,2.5,1571.5,1224.5,347.0,0.6,9.095209,
1_1_1_1_33,1348.6325652832866,11531.668218406827,2973.55690975583,375,0,34,-13.028125000000003,-70.454875,0,0.0,1571.5,1224.5,347.0,0.0,0.9519079,
1_1_1_1_34,6601.197784562887,27659.904961152,4809.725528339323,299,0,24,-12.739625000000004,-70.472875,0,0.0,1571.5,1224.5,347.0,0.0,2.1149511,
