system:index,distance_dep,distance_nac,distance_vec,elevation,first,landform,latitude,longitude,lossyear,offset,price_after,price_before,price_dif,scale,slope,.geo
1_1_1_1_0,11151.163901920403,2070.4755161351313,5133.728236692641,358,0,21,-12.955124999999995,-70.265875,0,0.0,1571.5,1224.5,347.0,0.0,6.7778516,
1_1_1_1_1,16803.695858918745,45755.47954738142,11872.86741767857,294,0,41,-12.599874999999997,-70.563125,0,0.0,1571.5,1224.5,347.0,0.0,5.7577515,
1_1_1_1_2,10344.489244566743,4098.43159664379,7581.1850564035185,380,0,31,-13.011624999999995,-70.307125,0,0.0,1571.5,1224.5,347.0,0.0,10.1104555,
1_1_1_1_3,33183.15831438486,19439.279860984352,11099.360912036316,263,0,21,-12.705624999999998,-70.086625,0,0.0,1571.5,1224.5,347.0,0.0,2.6545684,
1_1_1_1_4,29320.9869599643,53696.325455023696,17027.98228138241,315,0,24,-12.615375,-70.681625,0,0.0,1571.5,1224.5,347.0,0.0,3.9775794,
1_1_1_1_5,35671.60458703079,9171.339144403077,914.4903106760139,231,0,31,-12.793374999999997,-70.048125,0,0.0,1571.5,1224.5,347.0,0.0,0.92740995,
1_1_1_1_6,24894.180835193638,3760.147104064103,7417.330100905963,274,0,34,-12.947125,-70.133625,0,0.0,1571.5,1224.5,347.0,0.0,4.7233696,
1_1_1_1_7,14179.157857526132,3253.8382566425494,6301.328350322388,302,0,31,-12.953125,-70.235375,0,66.5,1571.5,1224.5,347.0,-4.0,7.2825704,
1_1_1_1_8,7205.629550488428,1761.044842575292,1264.8275374385596,309,0,21,-12.910624999999996,-70.29237499999999,0,0.0,1571.5,1224.5,347.0,0.0,4.7041855,
1_1_1_1_9,44793.42842099755,11091.254567324531,7981.113657098208,247,0,21,-12.792124999999999,-69.964375,0,0.0,1571.5,1224.5,347.0,0.0,3.909738,
1_1_1_1_10,4158.682969025798,6935.803577831747,4312.445024191024,335,0,41,-12.931125000000009,-70.392625,0,0.0,1571.5,1224.5,347.0,0.0,9.195146,
