system:index,altitude,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,latitude_209564535,longitude,longitude_209564535,mined,sand,slope,type,.geo
0,378,34,0,26066.022743338694,4888.882330492957,32669.845755609447,26066.022743338694,0.0,15594.988411871498,200.0467523480449,28389.90464255351,35211.780200588146,31,-13228,,-70069,,0,37,8.742674,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07017284133872,-13.2284754343833]}"
1,281,32,0,8501.299387986503,18648.225064641498,8928.290214333716,18799.6816922646,25729.6007773748,12915.92009428039,806.3490218988223,8501.299387986503,16007.44589001865,41,-12752,,-70301,,0,39,1.0421488,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30208601570446,-12.751862888163458]}"
2,290,36,0,4301.724814182461,11902.815983944985,4301.724814182461,25591.036776609068,17450.776231420237,9977.776290737722,848.6390437415073,6990.191030967183,9862.830408013035,34,-12700,,-70359,,0,38,4.193192,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.35891850428713,-12.700949574008837]}"
3,259,34,0,4198.574000618767,8722.076955517461,30834.44101668658,8802.571697589912,22152.27662163608,7245.957347031516,1985.395215595468,4198.574000618767,3448.972943109976,24,-12812,,-70087,,0,36,1.0580816,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.08773664197292,-12.8125047743449]}"
4,211,35,0,18567.08671762179,23747.573083567404,65521.20079934051,35184.79837586113,0.0,14394.17472438395,800.2747965542836,18567.08671762179,47428.626100461144,41,-13180,,-69624,,0,38,4.399866,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6242818542198,-13.180222269221046]}"
5,246,34,0,50229.46910531269,41112.52333274079,60350.77949594005,60418.731281887165,0.0,5799.711910443538,316.35315140875394,50229.46910531269,64904.6889648583,34,-13183,,-69158,,0,38,1.904492,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.15826698476783,-13.183646109396477]}"
6,219,38,0,15812.97185993097,5163.358032508979,36873.887540820084,24328.17113013449,0.0,3749.7584492516817,424.4254158197291,15812.97185993097,32234.14091574602,34,-12911,,-69369,,0,33,1.3285553,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.36919228621845,-12.912153725901607]}"
7,251,40,0,7596.748374484598,18149.586841188957,18018.762850758514,40307.18960282067,29404.564619077428,2334.9399897769053,1280.8533135911778,7596.748374484598,6485.754000204747,34,-12547,,-70231,,0,32,3.3656251,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.23202451957137,-12.546966704182868]}"
8,302,36,0,42824.00468041451,0.0,42824.00468041451,91556.79219445423,2308.430921922738,11819.47287091472,2246.9787625988615,56486.22324937751,6941.875136456738,24,-12306,,-70862,,0,34,1.3909631,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.86249311980716,-12.306517665589968]}"
9,229,36,0,5279.4049680249245,4523.962883996867,11117.017065102547,15972.552780570957,0.0,13655.327322376788,1527.0397334896857,5279.4049680249245,15830.314362402914,41,-12734,,-69147,,0,38,0.9507958,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.14692970004542,-12.735134060400899]}"
10,238,37,0,2326.7488166246185,2326.7488166246185,46727.47040998491,2326.7488166246185,17202.77704691823,10047.393371930479,100.03474494050805,2417.4488441459316,4658.870568456781,31,-12758,,-69601,,0,36,4.6391487,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6011205525474,-12.75800279094789]}"
11,239,37,0,17017.918902023812,25702.162473733057,43586.13418250793,25778.735260308906,39714.79007225644,670.9936770554827,2506.640155884715,17017.918902023812,2419.302108135668,21,-12649,,-69985,,0,34,0.66401213,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9857591807735,-12.649251892178675]}"
12,305,39,0,17230.924520184995,12160.684830906548,17230.924520184995,53492.46795683745,19640.11545207164,9703.119899455181,707.1839096241162,18311.557479371124,16902.731033262422,24,-12453,,-70411,,0,35,1.8989869,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.4109763721991,-12.453872047533624]}"
13,258,37,0,14621.967498438456,22462.380843625248,39574.90322817645,22586.777891231242,39017.07076128365,9467.507389277054,0.0,14621.967498438456,21680.037176414233,41,-12524,,-69552,,0,37,8.397254,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.55271500457856,-12.524809889480265]}"
14,256,40,0,922.2665879124579,0.0,54329.52855310577,922.2665879124579,10111.33988319048,11578.459770590374,412.4501567898084,1803.385995788114,13214.317214421611,21,-12821,,-69650,,0,34,5.5676413,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65010705555335,-12.82118317772301]}"
15,232,36,0,46313.75801418499,40750.17884534661,54330.64505353856,57288.67999437627,0.0,13466.808553158462,0.0,46313.75801418499,59041.30580965316,34,-13113,,-69046,,0,35,2.7553694,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.04659014060613,-13.113158365233064]}"
16,303,38,0,11261.73720736434,2817.8752699701554,20006.779455832864,45468.66638573712,0.0,19070.901525213092,200.00530266407938,11261.73720736434,12000.318159844763,21,-12635,,-70599,,0,39,4.444384,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.59975596410565,-12.635424932857152]}"
17,229,36,0,38939.198146281735,34312.394709537904,46695.8427633854,49845.30671356272,0.0,8835.856624629874,781.3370863962141,38939.198146281735,51408.180328822215,24,-13045,,-69060,,0,35,1.9143755,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.0604122813879,-13.045335567175066]}"
18,275,33,0,26148.32463741702,700.0280951393129,27864.3557450363,61873.07398465464,13000.521766872955,3006.7799506906053,1220.7045536991639,26148.32463741702,16677.599516969985,34,-12431,,-70569,,0,38,1.9904621,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.56906407139046,-12.431304580688822]}"
19,269,38,0,7236.212945658928,8384.151853045236,64644.14796380873,8384.151853045236,16286.683016431994,8862.796952667863,424.39692045742976,7236.212945658928,14164.236182057037,21,-12804,,-69772,,0,36,2.50463,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.77260762625816,-12.804576187216336]}"
20,469,37,0,6932.168218034312,0.0,13045.03595781265,6932.168218034312,2220.7059345298853,30339.685022325237,141.44336874700068,9576.979987228815,13022.779371943321,21,-13195,,-70297,,0,34,8.116317,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.29701656478629,-13.195783095588254]}"
21,249,36,0,2300.5674055970003,5337.982170844148,37130.58017038062,5414.2828048611955,20225.027809801068,14144.563499894193,854.6111534685306,2300.5674055970003,4405.629701462238,24,-12829,,-70025,,0,34,1.469967,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02607456647536,-12.829027086863508]}"
22,274,32,0,26793.949492711385,15405.867221411134,55878.722474645365,31960.847214245492,0.0,7019.916163973667,200.05932713822668,26793.949492711385,34620.38072380108,34,-13191,,-69843,,0,40,0.6647517,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.84393663556992,-13.19134765827457]}"
23,302,35,0,47200.39247092316,58848.172257818995,60479.2904931408,63013.942715976,70884.60635128175,26014.08704065153,2285.361373486013,47200.39247092316,34735.925947380114,21,-12304,,-69922,,0,36,2.8203864,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.92284784503423,-12.304976946513845]}"
24,259,33,0,4342.115706495366,0.0,4342.115706495366,39443.345384699795,8416.34783796912,2571.262669359891,3863.04819532128,4460.290100132922,4460.290100132922,21,-12588,,-70421,,0,41,2.113939,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.4209125093933,-12.588523559888671]}"
25,752,39,0,4716.787417821783,1702.865295566197,4716.787417821783,18961.250752150754,0.0,15402.258437977021,538.4932882445007,15455.077631437183,6262.317611802659,21,-13079,,-70745,,0,34,33.34004,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.74549421821798,-13.079230019637691]}"
26,252,40,0,12970.024200581582,22873.30245244562,36128.97709654909,23018.965971168993,39750.74241265718,11556.664086263578,0.0,12970.024200581582,24582.240599378692,41,-12507,,-69514,,0,33,10.507092,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.51494464092622,-12.507703713572829]}"
27,299,41,0,29110.138923450337,25090.251466736292,29753.18902291321,61290.2743943281,36410.47511668388,2302.5399910004276,200.03189198850268,29110.138923450337,26932.717649801078,31,-12358,,-70282,,0,29,6.98586,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2826367320994,-12.358676407254304]}"
28,249,39,0,282.9555646431079,8605.757531752362,16109.21968553887,4994.9872615617405,10516.092191051917,14099.948631506883,1477.0714116379495,282.9555646431079,13540.539873953512,21,-12478,,-69089,,0,40,2.6533666,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.08972660552003,-12.478339105417765]}"
29,449,39,0,2247.522345681114,0.0,10029.806496947533,2247.522345681114,3960.3298434284484,34424.67549851029,316.27024082953966,3536.0087887754007,9947.692082908838,31,-13189,,-70352,,0,34,14.83452,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.35234001488365,-13.189168735730803]}"
30,321,37,0,30589.639869946932,21163.462421633067,30589.639869946932,63627.15146997855,35995.58674744682,4624.533447329443,538.5959375862159,31956.083649057295,29565.484794020693,21,-12340,,-70313,,0,34,7.39378,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.31381342469732,-12.340445774402964]}"
31,197,34,0,2000.7993519778538,6355.491192108501,18055.204926894305,8249.507063872059,7765.189668067013,12389.61779505009,3971.4733166279107,2000.7993519778538,16241.327756797193,34,-12482,,-69058,,0,34,1.6996891,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.05843835640543,-12.482869228338416]}"
32,244,38,0,2419.5725890478825,0.0,32511.2602314327,6042.931265478441,10620.89738366655,11129.314578284768,447.37912997534875,2419.5725890478825,15760.195894989296,24,-12766,,-69453,,0,37,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.45373762751952,-12.76643524818377]}"
33,216,36,0,6796.832866536075,2643.0257969382837,16002.96103783658,14453.270383120149,0.0,990.3454909304378,2138.610972705911,6796.832866536075,17311.545814465215,21,-12614,,-69028,,0,34,4.312472,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.02900388791986,-12.614902152030918]}"
34,274,35,0,400.0721419319271,18436.175562546774,17065.902451393213,18613.031247875104,32208.292249798615,9836.914891966733,1615.8408142850503,400.0721419319271,15684.664922106243,41,-12743,,-70227,,0,37,1.4995198,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.22743940713299,-12.743178961102794]}"
35,850,39,0,4876.068143197896,6434.524463644706,4876.068143197896,19066.97295101266,10374.587984806538,27051.95243962806,424.22874642918174,11263.16447471025,8221.23739688482,21,-13187,,-70823,,0,37,10.766107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82374933350665,-13.188054845229471]}"
36,286,35,0,6333.4129873520305,14601.178641122124,7551.637640260865,14514.601477471047,28363.58724528508,15834.00628271119,100.01511116295127,6333.4129873520305,20722.686945665297,34,-12794,,-70307,,0,37,2.4211254,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30690940714943,-12.794330552113529]}"
37,315,36,0,25322.141972051544,40677.539490557436,40603.56269840999,44710.839745251775,51908.34562238456,8170.824190983486,538.6470709028199,25322.141972051544,13141.298488500564,21,-12472,,-70038,,0,36,0.66377926,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.03845411369764,-12.472739273083878]}"
38,270,37,0,25528.36244620031,33234.59183159755,49491.525952652446,33428.98425745765,49732.459713611745,19961.048812336405,806.5025918520425,25528.36244620031,30138.40445763433,31,-12446,,-69623,,0,37,4.015398,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.62339872426024,-12.446889136207814]}"
39,256,39,0,2023.0826476973357,2691.6665296858837,44741.70861012703,2640.999750220371,17583.69441195028,10299.23348369006,728.265783734079,2023.0826476973357,3126.7938777766535,21,-12745,,-69586,,0,37,3.1236758,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.586351847478,-12.745376525521463]}"
40,278,38,0,9629.008495146805,19871.30513640759,32387.916230409865,19988.551360667607,36813.59923748776,9732.896567304297,538.7134975308071,9629.008495146805,24079.535413753052,21,-12525,,-69484,,0,35,2.7802885,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.48460709923638,-12.525845528300563]}"
41,304,36,0,1345.4769001611241,4123.456517576456,7879.756781620864,24494.123888724247,17174.69649693172,22745.06635795837,200.01702076010932,1345.4769001611241,19327.534078148517,21,-12776,,-70469,,0,34,1.0421698,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.4698501351925,-12.776295972919128]}"
42,309,38,0,32876.870104485126,41595.86628866728,42509.41204374259,59760.86763915309,51998.62684650312,15676.69656762666,600.1328759116601,32876.870104485126,26059.56037978193,31,-12340,,-70104,,0,35,6.9858513,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10506404230762,-12.340467685027493]}"
43,278,36,0,22373.358954485357,31969.316689258856,63983.14100079899,31962.430123359285,42398.85847667364,13322.121312524707,0.0,22373.358954485357,10881.75850477532,31,-12559,,-69798,,0,36,2.653793,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.79856285243642,-12.559456888543133]}"
