,AREA,IN,STRATEGY,metric,score,mode
0,big,in,cluster,AUC,0.9681114254862564,long
1,big,in,cluster,ACC,0.9000653167864141,long
2,big,in,cluster,REC,0.9282814614343707,long
3,big,in,cluster,F1,0.899672131147541,long
4,big,in,strata,AUC,0.9733279277230351,long
5,big,in,strata,ACC,0.9293966623876765,long
6,big,in,strata,REC,0.9610894941634242,long
7,big,in,strata,F1,0.9309045226130654,long
8,small,in,cluster,AUC,0.9415050068534877,long
9,small,in,cluster,ACC,0.8651515151515151,long
10,small,in,cluster,REC,0.8059701492537313,long
11,small,in,cluster,F1,0.8291746641074855,long
12,small,in,strata,AUC,0.946146777522897,long
13,small,in,strata,ACC,0.866146848602989,long
14,small,in,strata,REC,0.8825857519788918,long
15,small,in,strata,F1,0.8665803108808291,long
16,small_out,out,cluster,AUC,0.8008659999999999,long
17,small_out,out,cluster,ACC,0.722,long
18,small_out,out,cluster,REC,0.677,long
19,small_out,out,cluster,F1,0.7089005235602095,long
20,small_out,out,strata,AUC,0.786796,long
21,small_out,out,strata,ACC,0.716,long
22,small_out,out,strata,REC,0.76,long
23,small_out,out,strata,F1,0.7279693486590039,long
