,AREA,IN,STRATEGY,metric,score,mode
0,big,in,cluster,AUC,0.97862931653646,short
1,big,in,cluster,ACC,0.9417524062396283,short
2,big,in,cluster,REC,0.9438943894389439,short
3,big,in,cluster,F1,0.9421841541755888,short
4,big,in,strata,AUC,0.9767259485767488,short
5,big,in,strata,ACC,0.9368980405181003,short
6,big,in,strata,REC,0.9470742932281394,short
7,big,in,strata,F1,0.9381309019863238,short
8,small,in,cluster,AUC,0.9521778040208058,short
9,small,in,cluster,ACC,0.8848333333333334,short
10,small,in,cluster,REC,0.8949983438224578,short
11,small,in,cluster,F1,0.8866283839212469,short
12,small,in,strata,AUC,0.949259919144919,short
13,small,in,strata,ACC,0.8878797886393659,short
14,small,in,strata,REC,0.8948419301164725,short
15,small,in,strata,F1,0.8878982994881955,short
16,small_out,out,cluster,AUC,0.9308977777777778,short
17,small_out,out,cluster,ACC,0.8063333333333333,short
18,small_out,out,cluster,REC,0.6406666666666667,short
19,small_out,out,cluster,F1,0.7678785457451058,short
20,small_out,out,strata,AUC,0.9489893333333335,short
21,small_out,out,strata,ACC,0.8006666666666666,short
22,small_out,out,strata,REC,0.6186666666666667,short
23,small_out,out,strata,F1,0.756316218418908,short
