system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
6_0,285,0.17790716863405917,37,0,1941.1506446875576,9826.42392718422,1941.1506446875576,27484.958666748986,14912.145814725343,10313.262101257538,1056.0354367725859,6525.944806502172,7925.460380072799,36,-12689,-70379,0,0.9410570726071619,38,1.7661346,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.38001896323384,-12.68637582096716]}"
10_0,408,0.30267302467925006,38,0,3652.0098432893615,12376.688375117079,3652.0098432893615,14315.405339508214,16829.24734695507,33104.57822658706,72.82007897855061,4376.971974499677,5669.455983835632,27,-12963,-70480,0,0.8340329895928204,33,8.058638,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.48107410639477,-12.962458613582092]}"
18_0,378,0.21885019060603014,40,0,1717.912216930618,0.0,8852.251270114159,1717.912216930618,20556.05766313605,21165.062451550202,128.0122562777059,3382.474181139141,17275.76774473598,28,-12953,-70288,0,0.9019609145933625,38,7.402751,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.28745091647097,-12.952639164589456]}"
23_0,260,0.044554267451496765,33,0,22213.39191802705,7949.242061459303,42064.71327018213,22213.39191802705,0.0,1420.317167940865,4877.499177567299,26189.59968320534,23319.113011708556,24,-13106,-69979,0,0.9025503150320328,39,1.1420268,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.97832135069493,-13.10588040503816]}"
28_0,232,0.04299898771918312,34,0,7757.268014581755,0.0,63798.80785265382,7757.268014581755,3262.5403320829982,7688.593381496291,831.8403055495683,9914.589910612602,20537.813802601777,26,-12952,-69771,0,0.9614646880226705,36,1.0700089,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.77305091546101,-12.949247776984578]}"
29_0,302,0.16958561627186783,37,0,3023.323629873583,3431.5818277108765,8954.528946850594,3423.9890345169288,25836.30513926279,16310.862448682004,772.8821616832722,3023.323629873583,21929.75054143375,24,-12899,-70277,0,0.8660316928969067,38,1.4371506,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27611433003291,-12.898450510140169]}"
31_0,400,0.795025273857745,34,0,4772.755029109642,6711.246790452281,4772.755029109642,19902.43226140517,11753.62595398241,23007.28826454766,140.49699739436244,5451.348576099224,2626.4071683567017,28,-13002,-70580,0,0.8183186007101585,39,6.527885,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.58085624397494,-12.999838309975926]}"
37_0,276,0.05095665615446633,32,0,20661.271785768047,6300.562776754792,36927.908363144925,20661.271785768047,0.0,7098.047578494788,2336.7039130045437,22596.22655594623,20712.054182355547,23,-13081,-70026,0,0.9508221787768862,39,2.2201207,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.02801886969287,-13.078562979764383]}"
45_0,271,0.2208338569072317,32,0,1743.1690836606285,10116.69045975676,16369.95634210479,10241.86750733938,27361.125523258168,6515.600533686905,2416.53457319023,1743.1690836606285,17849.761363002308,27,-12820,-70221,0,0.830384098754557,41,2.3564675,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.2204272566964,-12.817347643304561]}"
47_0,246,0.21409034967480695,39,0,14354.383365324733,26765.23053496797,57619.13090589554,26684.35929452484,36932.063318126005,4475.406154955172,1771.8187906090964,14354.383365324733,3178.588700855375,34,-12637,-69856,0,0.9097714796020229,34,1.9345504,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.8549597952312,-12.634332271412653]}"
54_0,240,0.8080053812235118,32,0,6584.87379901202,6667.919335589204,44098.88595400996,6584.87379901202,19264.86122402061,17821.501451711338,94.17806498931635,8625.373490433518,6062.759412485177,37,-12835,-69959,0,0.8023787096842943,42,1.5638525,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9606763460121,-12.834699173604646]}"
58_0,295,0.4641531420135455,37,0,3778.581413828371,3750.6974646061785,3778.581413828371,29226.412962483617,10861.877810948368,13445.174302552623,1910.0306141539807,6339.187564187413,10327.545306320571,24,-12700,-70441,0,0.969949132157687,37,1.6766067,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.44084841248755,-12.696901267784657]}"
60_0,302,0.1827060441785643,36,0,10086.718366698467,1365.478735586966,21207.472468438606,44833.292933388744,0.0,21265.36656318182,364.12936034648675,10086.718366698467,14248.026217992197,28,-12655,-70610,0,0.8919353325691809,39,4.60252,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.6118297678372,-12.652527660218295]}"
82_0,313,0.0962511308182669,39,0,10196.918045072049,0.0,20172.57110787241,10196.918045072049,12144.699435621156,10978.320477248262,854.8367726406489,10372.970546071796,19924.076495105204,31,-13008,-70200,0,0.8611562013068179,35,6.205352,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.199221508706,-13.007305773027968]}"
95_0,239,0.6678454732631403,36,0,250.06360885117576,287.275438536972,38943.6640074838,250.06360885117576,13312.687636316703,12682.247525443194,1118.5599836651536,4366.600943908168,527.0556149282344,35,-12889,-70000,0,0.8545351846539032,38,2.417768,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99959050975951,-12.888803441897057]}"
97_0,353,0.09116157139148263,41,0,23504.253810727558,9774.37727806902,67273.80480472365,25106.16709746079,0.0,10682.244334941473,444.6607654681563,23504.253810727558,32258.353573277465,25,-13107,-69746,0,0.9442881261986281,37,6.789324,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.74586500125065,-13.106657857991989]}"
98_0,262,0.4601029912229242,36,0,4055.3641919967936,4060.2954636866243,40592.6866818642,4055.3641919967936,17175.839132319423,17054.763886027402,353.2285103431805,5082.401968306623,4552.821292994617,25,-12853,-69989,0,0.994196071159778,35,2.3750932,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.98838245623824,-12.850871331977952]}"
105_0,439,0.4139870142013156,35,0,298.7539611168711,15363.312046595644,3434.996572063119,16128.075171668817,20011.870074935923,31960.625035757053,272.682704605394,298.7539611168711,3916.593344775491,28,-13028,-70503,0,0.9902388297089573,38,3.293355,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.50358670239584,-13.027416887318317]}"
118_0,237,0.3330996144045411,37,0,11335.159111202778,18381.980349175657,46063.06465059821,18363.464807151504,31225.887594216372,6675.412276678546,2976.9463668906756,11335.159111202778,5962.919862429677,35,-12726,-69959,0,0.9244476373017778,35,1.6576113,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.96026636301413,-12.72620009466062]}"
125_0,399,0.13113201359227256,36,0,4558.739984347952,12188.946468475868,4558.739984347952,10830.963733844514,21922.681945028115,28795.517638591646,80.18658087786231,5616.448312517185,14290.652465058412,26,-12898,-70409,0,0.8466499094130024,35,9.354889,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.40881436688521,-12.897769528844142]}"
129_0,288,0.10009227313094045,36,0,2550.4528089178075,2366.328498804321,13496.005750088236,2550.4528089178075,23179.047769833498,12598.949956438186,651.9833147925794,5058.31881026888,19568.17446936393,34,-12888,-70236,0,0.9510663984680846,38,1.5352365,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.23735545871156,-12.8877876549179]}"
132_0,246,0.05940363234128798,42,0,18986.59773160921,7589.123089278053,69758.06784788595,21278.407802034028,0.0,10005.116149647049,1463.6746454772717,18986.59773160921,31383.03927250822,29,-13071,-69724,0,0.9778460460085343,33,2.3886032,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.7236147521015,-13.068744864246899]}"
140_0,263,0.2678603202225647,34,0,15096.653866393919,846.8951760810156,36903.97718271986,15096.653866393919,0.0,5096.098036836904,835.416454840908,16963.437936450133,15054.84445160872,24,-13030,-70034,0,0.9246639928238867,37,1.8527462,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.0333497507999,-13.02971841694103]}"
143_0,309,0.10911152142126783,40,0,261.7291457638858,13246.212032879088,261.7291457638858,11473.926468012753,26564.205364912264,23223.55475301341,469.23740975257704,7409.7611456240265,21666.03126338396,26,-12844,-70369,0,0.8112434545675625,38,1.9344788,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.36981646729801,-12.843733862884521]}"
145_0,250,0.04382081742873077,32,0,21099.281875752094,7237.817423690629,46463.017366007465,21099.281875752094,0.0,368.29838576703696,5322.863066402409,27238.57312255803,22816.238011189456,31,-13103,-69938,0,0.8185677291120859,39,1.4376299,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.93955912179422,-13.100599680767466]}"
149_0,235,0.06463644999756431,36,0,10659.711167529207,0.0,65629.44835130041,10659.711167529207,968.575461927891,6091.906486565531,353.5990766803647,11602.703642549222,22988.52076964754,26,-12977,-69757,0,0.975786744828004,33,1.2751226,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.75653885658579,-12.976422309037885]}"
151_0,403,0.062246001849184274,39,0,5627.407682516085,0.0,13124.208436157072,5627.407682516085,15123.86490532398,20153.292336600272,394.37191093418136,8896.237014436962,14250.017864127092,18,-13004,-70281,0,0.842019331041748,35,9.605375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.28217059020669,-13.001484889335432]}"
161_0,276,0.13262093941594155,34,0,1517.6743792892773,17412.947067218287,18751.867860338818,17540.02235391793,32633.650950394145,7647.180883868595,2366.351013133003,1517.6743792892773,16857.153166758235,29,-12754,-70210,0,0.8935555078063657,38,2.3527756,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20906210012078,-12.75230464291153]}"
162_0,266,0.14940898361961477,34,0,5239.179649944332,10105.457972851473,24732.443279539486,10156.806425032444,22970.81940526895,1911.5528795264133,1743.8014247400065,5239.179649944332,9533.91725030753,31,-12820,-70143,0,0.9955156644811829,33,1.2885369,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.14303876957874,-12.817695182490386]}"
175_0,373,0.19283514959259518,38,0,5097.400422345378,8749.580135754364,5097.400422345378,6851.884799348254,22526.307000741675,29455.69927288567,46.34420531618681,5232.954650964887,11073.652375350182,32,-12938,-70398,0,0.9766379612498888,38,8.991274,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.39796745849841,-12.935797127736507]}"
