system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_3,0,0,0,0,0,0,0,0,0,248,0.022265710565865324,34,0,4401.300257097328,0.0,55448.952696667104,4401.300257097328,10986.869977671075,10468.750863292875,700.2068590836657,6042.480428071969,12020.206186160556,24,-12931,-69848,0.0,0.8039049845930764,34,0.0,0.92740995,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.84798801676112,-12.931970863671637]}"
1_1_1_1_2_6,0,0,0,0,0,0,0,0,0,225,0.11759635654814415,35,0,7153.004364426181,14343.731557722349,44165.28355365784,14413.675084359991,30341.52648083975,6142.162027739093,200.0693629719453,7153.004364426181,10031.93752161067,21,-12628,-69604,0.0,0.9319881313997219,35,0.0,5.427594,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6041761708838,-12.628010310040267]}"
1_1_1_1_2_16,0,0,0,0,0,0,0,0,0,279,0.19975865351167188,36,0,3373.548106686045,0.0,17918.519087498902,37864.418135322805,6092.839814076849,24182.276257946127,900.0326947186419,3373.548106686045,17678.311714587595,21,-12716,-70579,0.0,0.8171478084040429,38,0.0,3.8241773,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.57940090317166,-12.715684228720129]}"
1_1_1_1_2_22,0,0,0,0,0,0,0,0,0,802,0.07853986526395465,36,0,7700.8568770381,9067.217414003731,14376.061361361291,7700.8568770381,11206.104095885086,27123.599616068892,905.5629205775821,9270.632810284582,14335.308758283252,31,-13110,-70601,0.0,0.9075824131310015,38,0.0,14.3071375,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.6020811397066,-13.110667883529345]}"
1_1_1_1_2_25,0,0,0,0,0,0,0,0,0,286,0.1303543260204635,39,0,10302.15633678212,0.0,25388.970305774514,10302.15633678212,7226.469314264054,5116.733204643369,985.0919690566967,11497.187892589214,15606.150860718346,34,-13006,-70144,0.0,0.8140219616232498,36,0.0,3.3599617,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.14449534840652,-13.006241887464448]}"
1_1_1_1_2_33,0,0,0,0,0,0,0,0,0,265,0.07421599235429141,37,0,4429.240939682308,5701.188025606621,23603.647357229627,5801.208868161122,19118.899678690406,6022.052177352652,1720.8236422749717,4429.240939682308,10642.706460239713,41,-12859,-70147,0.0,0.8504403172879885,34,0.0,0.47566628,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.14659595810114,-12.860580130251712]}"
1_1_1_1_2_37,0,0,0,0,0,0,0,0,0,247,0.16412306446937527,34,0,11308.516907251878,0.0,51537.91789074036,11308.516907251878,2354.3884394526162,2121.9223692245732,2377.647444042969,16105.81168231794,14136.24335553938,24,-13011,-69893,0.0,0.884851924630378,37,0.0,1.8543341,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.89417749444502,-13.011293594517436]}"
1_1_1_1_2_44,0,0,0,0,0,0,0,0,0,243,0.04190278901668824,31,0,16737.016735140787,2300.6477945165925,50497.68129541089,16737.016735140787,0.0,922.2141140051547,3585.699292877933,21695.968326084116,19114.01873426486,24,-13062,-69902,0.0,0.978385964455928,38,0.0,2.0841484,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.90294073168407,-13.063072052636457]}"
1_1_1_1_2_58,0,0,0,0,0,0,0,0,0,231,0.03240191509853212,35,0,18810.155032421982,3641.1970815273703,64862.61566678235,18810.155032421982,0.0,4663.007457199531,0.0,18991.47786917262,26104.931444287256,21,-13051,-69770,0.0,0.9179790712172619,41,0.0,9.988994,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.77036863215514,-13.051023170349728]}"
1_1_1_1_2_72,0,0,0,0,0,0,0,0,0,264,0.0972457265809544,37,0,500.01347638088714,0.0,20243.322088137178,37159.71517830583,8318.877947926632,21413.890763539737,1166.221811020528,500.01347638088714,21781.542040545763,42,-12747,-70599,0.0,0.9343419624716475,36,0.0,1.0578617,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.59921371595583,-12.747565976695357]}"
1_1_1_1_2_73,0,0,10,1,35,0,18,0,0,220,0.7375515478717133,33,0,7533.703654246032,11531.520420948402,58907.41259807631,11466.69086419443,21410.659643621446,300.09701556330083,223.679108881451,7533.703654246032,9967.15715487621,21,-12734,-69724,4.0,0.8634616571199536,40,4.7,4.193199,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.72546498787081,-12.734859114698526]}"
1_1_1_1_2_74,0,0,0,0,0,0,0,0,0,257,0.0872437252820971,34,0,15044.12402019992,1811.5399957632733,40824.278989968465,15044.12402019992,0.0,2596.8146548343607,2404.7776355751685,17809.045202245543,15405.235701905049,24,-13032,-69996,0.0,0.8168882092139055,36,0.0,1.7022835,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.99633758420723,-13.032620996839299]}"
1_1_1_1_2_79,0,0,0,0,0,0,0,0,0,257,0.02032022620621709,39,0,1281.0529223430817,2618.1253347681213,55467.61071558874,2546.4353255457913,13107.051317301499,7967.58553795863,360.6756504183329,1281.0529223430817,12520.173496787032,21,-12796,-69671,0.0,0.9542633670527265,35,0.0,1.4699473,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.67229547407472,-12.796848884152952]}"
1_1_1_1_2_80,0,0,7,0,0,0,5,0,0,249,0.93609426878368,34,0,5558.78064566336,13104.801134150222,11912.43545013007,32726.71811852771,23704.06309799051,1341.8588509158667,1253.2000651613102,5558.78064566336,2640.5048628366626,21,-12617,-70275,-1.0,0.8108161941826028,38,1.6,4.6273675,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27530547588603,-12.61751009377748]}"
1_1_1_1_2_85,0,0,0,0,0,0,0,0,0,210,0.46351993573250905,37,0,3501.213168652225,8771.163290507708,45122.61890359147,8700.715639343625,23986.009111677347,7426.857879934825,2581.592100514235,3501.213168652225,3449.383139485776,21,-12690,-69605,0.0,0.9206681278302127,34,0.0,4.01672,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.60570385414658,-12.690128760229017]}"
1_1_1_1_2_93,0,0,0,0,0,0,0,0,0,254,0.254827179549111,38,0,1166.6032557172125,2885.4622246704253,41506.13448645649,2866.3241874666323,18828.19377840135,7025.30629781542,781.3014808038251,1166.6032557172125,3081.675006819546,21,-12723,-69562,0.0,0.9140052443312101,38,0.0,4.1663504,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.5623984723304,-12.723319608074544]}"
1_1_1_1_2_102,0,0,0,0,0,0,0,0,0,235,0.12818100799109616,35,0,12267.474019429706,21308.311502369943,47712.93414511759,21286.936123188218,34059.85570305158,3466.476776102476,3902.331121476063,12267.474019429706,5758.283505667347,24,-12701,-69947,0.0,0.8620962342460273,34,0.0,1.9915346,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.94834070471822,-12.701875437525366]}"
1_1_1_1_2_108,0,0,0,0,0,0,0,0,0,514,0.19679426856293109,38,0,1131.5438016267865,0.0,6803.9805005852095,6485.588429762825,4020.5647749259056,24869.23901958172,223.64098033664916,1131.5438016267865,6901.779507710085,21,-13101,-70303,0.0,0.8423222619753316,32,0.0,2.3657637,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30348611333395,-13.101774243730693]}"
1_1_1_1_2_109,0,0,0,0,0,0,0,0,0,280,0.23355340007757128,39,0,5391.452908887362,8063.334743609495,5536.983772495184,30504.07433724018,16061.099121304713,5471.562566751385,854.5145094584409,5391.452908887362,6031.560130627481,41,-12654,-70351,0.0,0.8876209519087954,34,0.0,1.057548,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.35116630028057,-12.654022975561931]}"
1_1_1_1_2_114,0,0,0,0,0,0,0,0,0,240,0.4325238362084273,34,0,6804.0392862898,12502.41893813703,11827.729203252362,35841.10555082626,23582.824351020674,3716.7810370458665,1334.3818881555235,6804.0392862898,2900.468380144619,21,-12589,-70278,0.0,0.8678929122922991,34,0.0,1.9556738,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27792863084953,-12.58956104911981]}"
1_1_1_1_2_118,0,0,0,0,0,0,0,0,0,229,0.018298873735454812,31,0,16508.231336025976,9554.101781106898,70919.69720163697,20259.40917936342,0.0,10242.555732701678,100.03335381261591,16508.231336025976,34642.3173488275,34,-13054,-69676,0.0,0.9398113295533363,38,0.0,1.4701062,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.67658236781568,-13.054540529070895]}"
1_1_1_1_2_125,0,0,0,0,0,0,0,0,0,235,0.014945488583875472,33,0,21263.872474810414,14143.130722502321,68450.90205983895,25878.22456873883,0.0,12591.644054224262,922.2729781843673,21263.872474810414,40884.64792101064,24,-13086,-69612,0.0,0.8594081340896117,35,0.0,2.553158,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.61302195471194,-13.086437061108319]}"
1_1_1_1_2_130,0,0,0,0,0,0,0,0,0,451,0.11662384377741615,38,0,1565.3346334405426,9418.060576906131,1565.3346334405426,20616.67463363621,13683.231469797429,27281.729762372994,0.0,1697.1506544057893,1676.3986869528344,31,-12982,-70537,0.0,0.9159090772882844,34,0.0,4.671238,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.5384845102854,-12.982781638529046]}"
1_1_1_1_2_131,0,0,0,0,0,0,0,0,0,231,0.23876406228786676,36,0,15772.370515237139,24695.31279899557,35780.100131714935,24794.97544512232,39509.851873333246,3042.100834987949,141.45481555518003,15772.370515237139,7004.51338758625,41,-12653,-70058,0.0,0.8478072486893365,31,0.0,1.0575463,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05810010741537,-12.653178728732563]}"
1_1_1_1_2_136,0,0,0,0,0,0,0,0,0,253,0.07574416068889897,36,0,4753.163866335178,0.0,48323.481801015194,4753.163866335178,7702.142392387796,7873.657561917699,300.08346983329074,12468.61963677152,7602.772618413935,24,-12955,-69915,0.0,0.8822809870582513,34,0.0,1.058569,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.9149965228056,-12.955343412668437]}"
1_1_1_1_2_143,0,0,0,0,0,0,0,0,0,245,0.08640552044991301,37,0,1803.4173222207712,0.0,46203.2344932546,8992.08154694312,5941.811152623204,16236.61209634533,223.6863889152344,1803.4173222207712,15129.536197800211,34,-12848,-69550,0.0,0.8177797209498084,35,0.0,1.4266704,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.55078784346833,-12.848672836890229]}"
1_1_1_1_2_163,0,0,0,0,0,0,0,0,0,262,0.17269249130311773,37,0,282.90768425848745,223.65816245514605,30044.376498840873,282.90768425848745,12672.559116089427,11528.70508523758,2900.6661588399074,5198.308412978718,2816.672437143528,21,-12898,-70081,0.0,0.9501787551877832,33,0.0,0.66434807,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.0812398724111,-12.898288803456458]}"
1_1_1_1_2_168,0,0,0,0,0,0,0,0,0,267,0.03221459910222617,35,0,22791.072416915486,8850.404355114146,39210.43731519987,22791.072416915486,0.0,4259.012047884278,4415.865999151349,25278.71681728942,23216.435770668046,34,-13103,-70005,0.0,0.8398367430694234,38,0.0,2.3572533,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00492208080004,-13.103110862888782]}"
1_1_1_1_2_169,0,0,0,0,0,0,0,0,0,307,0.11317625375071147,38,0,0.0,2102.696579692372,5605.307491844225,500.0753849421105,23074.022333364963,20861.236727031548,100.0150769884221,0.0,17328.027008740057,41,-12926,-70308,0.0,0.9582464149775587,37,0.0,9.026555,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.30809934650689,-12.926273314949281]}"
1_1_1_1_2_172,0,0,0,0,0,0,0,0,0,494,0.14535318428126406,35,0,2309.0077435482162,0.0,3800.540645133597,3574.0220988251626,3722.0882980966644,27512.63969328603,100.01422750351571,2309.0077435482162,3901.8368956372647,21,-13099,-70331,0.0,0.9135789209496553,33,0.0,13.571151,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.33114458681688,-13.099734432066533]}"
1_1_1_1_2_183,0,0,0,0,0,0,0,0,0,230,0.01597650850976831,37,0,21335.529904565148,13734.129644423912,73363.3715071925,25111.596678587503,0.0,15106.052215037438,100.0335002480419,21335.529904565148,37921.14175370115,34,-13097,-69669,0.0,0.8395545629373823,36,0.0,1.0424498,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.66950404303702,-13.097418525322247]}"
1_1_1_1_2_184,0,0,0,0,0,0,0,0,0,236,0.022444883842567678,35,0,6802.01546303557,0.0,55982.02344805757,6802.01546303557,8807.721912952204,8185.945551806978,100.0296391622878,8258.959742150397,13333.616963747589,31,-12953,-69844,0.0,0.96698277210643,33,0.0,4.331958,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.84419036004816,-12.953954912750413]}"
1_1_1_1_2_186,0,0,0,0,0,0,0,0,0,461,0.06279285623204783,40,0,6339.268817045513,11167.347093663362,8705.282031897807,9419.871290671252,16581.41435822471,36319.93608523219,0.0,6339.268817045513,8787.045038453627,41,-13090,-70486,0.0,0.8894230437818518,33,0.0,14.88306,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.48631121500257,-13.091022011331836]}"
1_1_1_1_2_188,0,0,0,0,0,0,0,0,0,301,0.4429364386940524,34,0,800.0421473272518,223.61857828607958,17319.39964179326,27191.504203511973,9633.783184061182,28008.617479017732,1253.0624216762658,800.0421473272518,17994.835844006313,24,-12822,-70544,0.0,0.9269908588402435,39,0.0,0.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.54358308815748,-12.822204388984202]}"
1_1_1_1_2_189,0,0,0,0,0,0,0,0,0,271,0.03823528558008847,34,0,15418.224117342994,1887.2394056448559,33192.12813951054,15418.224117342994,0.0,5604.886482389162,1044.2758775335365,18829.139428247865,16534.15796065144,24,-13044,-70065,0.0,0.9340045950650594,39,0.0,1.4701003,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.06610614407093,-13.045362763488892]}"
1_1_1_1_2_192,0,0,0,0,0,0,0,0,0,304,0.17577272090806098,37,0,3773.7151662850756,0.0,19860.15235103321,33563.27250583264,9097.548166006734,22657.303146040187,2302.2477510101403,3773.7151662850756,20986.868382488756,34,-12783,-70587,0.0,0.9584578480164773,37,0.0,1.042176,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.58756111613748,-12.783975879676934]}"
1_1_1_1_2_193,0,0,0,0,0,0,0,0,0,200,0.16211352988930292,32,0,5673.595445164436,12807.431868734091,62159.6563831862,12807.431868734091,22368.63848397915,6003.502406473345,1000.3059102407123,5673.595445164436,8830.497520688776,41,-12758,-69804,0.0,0.8123736750832313,43,0.0,0.0,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.80401853472503,-12.758503314652573]}"
1_1_1_1_2_198,0,0,0,0,0,0,0,0,0,229,0.01291245572186723,36,0,16133.064516796709,10020.369648402448,68738.64204844362,20383.8317764503,0.0,10468.71585069057,1077.3968193056817,16133.064516796709,36462.965825036954,41,-13049,-69654,0.0,0.9557523684690611,31,0.0,1.6853334,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.65415486217535,-13.048630389744636]}"
1_1_1_1_2_205,0,0,0,0,0,0,0,0,0,300,0.09293943194121779,39,0,8823.78081333602,1835.8633564815968,12758.489003343519,42432.895561284095,0.0,14327.386804525253,360.57621799610547,8823.78081333602,5108.135895429161,21,-12612,-70529,0.0,0.9980955306462804,36,0.0,5.2816577,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.5298944777975,-12.613189621517416]}"
1_1_1_1_2_206,0,0,0,0,0,0,0,0,0,238,0.03893837963563889,39,0,141.46878106361487,0.0,56462.350972811546,141.46878106361487,9170.953102358775,11552.465741139218,100.03353441627712,510.0729440022524,15176.771887454464,41,-12831,-69666,0.0,0.9818706510158748,38,0.0,1.0581477,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.66630581896541,-12.83158648819645]}"
1_1_1_1_2_207,0,0,0,0,0,0,0,0,0,233,0.024154868812042023,39,0,22406.20473387164,15147.75516030294,72554.28459456612,26324.257982887368,0.0,16303.9556476862,1000.3368085143873,22406.20473387164,39317.8180029697,34,-13106,-69660,0.0,0.9475985014373143,39,0.0,1.7026445,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.66012101207106,-13.107208181314732]}"
1_1_1_1_2_224,0,0,0,0,0,0,0,0,0,247,0.03217262643025961,42,0,538.7011959478325,0.0,51071.40496575144,538.7011959478325,12407.883039955008,11946.039067422751,894.733986305427,700.2401053054052,10088.1008969494,31,-12801,-69626,0.0,0.8430608174691802,34,0.0,3.0130165,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6261456596275,-12.801031626154552]}"
1_1_1_1_2_245,0,0,0,0,0,0,0,0,0,269,0.15420644152511995,38,0,6044.422871265684,0.0,10002.690832307011,40135.801559045874,100.00690894102017,12500.863617627521,0.0,6044.422871265684,5731.887937761404,41,-12622,-70505,0.0,0.8730149711838469,40,0.0,2.7199209,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.50592682490768,-12.622817973671156]}"
1_1_1_1_2_253,0,0,0,0,0,0,0,0,0,212,0.27173465777117883,32,0,16700.872164666936,26665.14897746184,47074.46061489811,26696.836405728278,39795.68774276833,100.02674447054147,1000.2674447054147,16700.872164666936,1140.4803589798246,31,-12649,-69953,0.0,0.9840428107627093,41,0.0,10.84605,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.95367158787951,-12.649504312834424]}"
