system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,random,sand,slope,type,.geo
0_0,239,0.0923857214167186,37,0,17060.06836342402,6015.058176049305,69885.61770226818,19279.993845311976,0.0,9195.231141150714,1738.9075638124405,17060.06836342402,30203.445498250858,25,-13053,-69724,0,0.8390021569994336,38,1.3735082,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.7235673698698,-13.052469355787645]}"
2_0,356,0.05309928261793129,40,0,23630.761018033434,9481.281988518433,66873.63814081965,25084.615583095463,0.0,10140.158161619893,579.9416957949079,23630.761018033434,31981.062992511484,25,-13107,-69750,0,0.8068186048672203,37,10.312296,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.75139984317853,-13.10664178283395]}"
8_0,329,0.26007379854209633,38,0,7160.715283974771,0.0,16271.207865955479,7160.715283974771,15314.744442762489,14590.880496881198,75.41659538251868,9729.92111804686,18832.003628075658,30,-12993,-70233,0,0.8189346634318868,37,3.8481417,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.23233231417045,-12.99087720166998]}"
10_0,408,0.5074868524540436,38,0,3652.0098432893615,12376.688375117079,3652.0098432893615,14315.405339508214,16829.24734695507,33104.57822658706,72.82007897855061,4376.971974499677,5669.455983835632,27,-12963,-70480,0,0.9242633411587432,33,8.058638,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.48107410639477,-12.962458613582092]}"
11_0,311,0.5361549771581114,33,0,6149.108377123411,0.0,20601.460878726324,32262.565709905255,5020.841471782077,21779.385821455176,397.45318069435046,6149.108377123411,16759.848392688116,26,-12821,-70600,0,0.9929193420597802,39,0.932963,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.60183905190527,-12.820726107125425]}"
14_0,253,0.05827169762327913,36,0,5351.676836825907,5392.190827273532,64296.405193357605,5351.676836825907,13505.990961319154,11348.922396939224,222.51853126583836,7056.110651797186,17193.682735221577,34,-12832,-69771,0,0.9442372229117345,34,4.1766477,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.77268481183283,-12.82989383146958]}"
15_0,274,0.0684007708812544,35,0,3844.1774439694195,18618.600921988516,21323.56244646742,18689.390769138714,32598.937704270033,7383.680375541142,3410.492884510731,3844.1774439694195,15591.197503842723,27,-12744,-70187,0,0.834883123832457,37,1.950978,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.18690637669262,-12.74155567772287]}"
16_0,406,0.6336938688062203,38,0,3064.275284344923,8148.331033295554,3064.275284344923,21058.612570122015,12253.719429376742,26746.49486605067,350.0189057393583,3123.8679899388235,3196.6555807518253,27,-12970,-70542,0,0.8417640876164963,33,7.861815,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.54193940818915,-12.967529159467254]}"
21_0,331,0.12197661671689011,39,0,11652.490696041936,0.0,24210.684866101165,11652.490696041936,7721.765958202442,7220.715337830643,487.82666626021245,12146.515931158625,17629.084533172372,22,-13018,-70159,0,0.8733375670174108,34,5.9454384,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.16054848378442,-13.0183308007887]}"
27_0,212,0.8396542547160809,32,0,10791.283182690844,19591.879857690106,59628.06226103992,19558.669439044625,30049.185651466272,4704.426505129024,368.3160198910345,10791.283182690844,6084.4983813495,36,-12659,-69745,0,0.8822787127953101,39,2.381131,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.74453409072488,-12.656364816816877]}"
29_0,302,0.2131086141682529,37,0,3023.323629873583,3431.5818277108765,8954.528946850594,3423.9890345169288,25836.30513926279,16310.862448682004,772.8821616832722,3023.323629873583,21929.75054143375,24,-12899,-70277,0,0.8415155438560742,38,1.4371506,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.27611433003291,-12.898450510140169]}"
