system:index,0_mined,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,random,sand,scale,slope,year,.geo
1_1_1_1_2_7,0,0,0,0,0,0,0,0,0,302,0.07301246641497339,38,0,6946.696139594662,100.0068259389078,10698.39351221423,41756.6523111045,0.0,11851.969233709515,538.5532395194323,6946.696139594662,3920.726764929479,21,-12606,-70507,0.0,0.9499913284332393,40,0.0,4.222374,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.50748685297256,-12.606265727932156]}"
1_1_1_1_2_15,0,0,0,0,0,0,0,0,0,264,0.1281062544703558,37,0,761.8489830976183,671.0596906374556,40299.97619114478,761.8489830976183,16915.792603721216,8125.0891989695065,282.9436091123106,1414.718045561553,5282.035067019032,21,-12737,-69546,0.0,0.8305610752105055,38,0.0,5.628677,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.54557125414176,-12.73691858197147]}"
1_1_1_1_2_25,0,0,0,0,0,0,0,0,0,286,0.16926004345170986,39,0,10302.15633678212,0.0,25388.970305774514,10302.15633678212,7226.469314264054,5116.733204643369,985.0919690566967,11497.187892589214,15606.150860718346,34,-13006,-70144,0.0,0.800177355311943,36,0.0,3.3599617,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.14449534840652,-13.006241887464448]}"
1_1_1_1_2_28,0,0,0,0,0,0,0,0,0,233,0.17165180743385056,31,0,17427.38253814552,26888.510343021924,35576.518856669834,26988.229467257457,41710.34565952564,1280.9278344963466,1486.9585956691515,17427.38253814552,4805.301492069722,34,-12633,-70058,0.0,0.8254864877296544,36,0.0,0.6639914,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.05857211410179,-12.633647090849372]}"
1_1_1_1_2_34,0,0,0,0,0,0,0,0,0,258,0.10842644553899791,34,0,3302.2759345118707,6763.955026721838,31538.999370601916,6842.629685700155,20335.20592532543,8574.607200938746,1746.8275401647766,3302.2759345118707,3547.6472556866825,34,-12827,-70078,0.0,0.9664012288193472,35,0.0,1.9574089,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.07845024127784,-12.827777719671786]}"
1_1_1_1_2_36,0,0,0,0,0,0,0,0,0,285,0.08157444716611144,39,0,7885.877764534997,447.23901258163966,12866.577482200491,41304.28436818593,0.0,15560.447293086967,424.2881814728051,7885.877764534997,6835.591470384988,42,-12628,-70533,0.0,0.927584401148378,36,0.0,6.2958355,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.53302552140764,-12.628901319454537]}"
1_1_1_1_2_61,0,0,0,0,0,0,0,0,0,348,0.10263247360826966,38,0,11761.901692366691,0.0,18944.54436587137,12882.265940308636,9685.839562841693,12113.856121476594,1081.8700240895103,11761.901692366691,19074.52831960031,21,-13036,-70203,0.0,0.9282445748188541,38,0.0,9.874385,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.20439196380855,-13.037433216057146]}"
1_1_1_1_2_64,0,0,0,0,0,0,0,0,0,303,0.13084113486672264,39,0,7122.295130214347,0.0,10689.525994692698,42311.93865205324,806.282106313254,11054.27854623423,1486.7107448549593,7122.295130214347,3105.0518759505053,31,-12598,-70503,0.0,0.8023436135957571,39,0.0,2.8861396,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.50412750948189,-12.598419725993065]}"
1_1_1_1_2_66,0,0,0,0,0,0,0,0,0,266,0.04811000016271924,40,0,3225.874203219958,10571.531382606661,59667.354300150495,10484.091160464865,21454.302229353383,8304.9093646281,600.1806759218427,3225.874203219958,11572.839915549575,21,-12779,-69823,0.0,0.8732696899075654,37,0.0,2.8205335,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82398720423846,-12.780413937764719]}"
1_1_1_1_2_67,0,0,0,0,0,0,0,0,0,240,0.4100602083829107,36,0,6390.349223114444,25133.76649524111,24218.13143040703,33046.0728300987,36034.52042806271,900.1825742549049,1615.877172957752,6390.349223114444,3712.895284880032,31,-12602,-70162,0.0,0.8483853653817307,37,0.0,1.6843836,2012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.16228806378754,-12.60365029704811]}"
