system:index,0_mined,0_mined_1,1_mined,1_neighbors,2_mined,2_neighbors,3_mined,3_neighbors,4_mined,4_neighbors,altitude,classification,clay,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,offset,sand,scale,slope,year,.geo
2_0,0,0,0,0,0,0,0,0,0,0,319,0.0430397831454611,37,24205.544719868354,35854.80380722627,36257.82361411702,50387.6939849125,46788.9460815466,7693.900600551834,1403.8764851463518,24205.544719868354,16828.098204133727,21,-12425,-70108,0.0,34,0.0,4.220005,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.10822957969648,-12.425943066257927]}"
2_1,0,0,0,0,0,0,0,0,0,0,273,0.03499483158176003,36,27869.472311770158,36929.1686975273,60655.473638602816,36899.757585903426,50046.120969411415,23173.12988415526,0.0,27869.472311770158,22636.65628317524,31,-12469,-69738,0.0,35,0.0,4.0395737,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.73879613400854,-12.46897849425803]}"
2_2,0,0,0,0,0,0,0,0,0,0,279,0.11289471910056578,37,11820.73801072353,10611.885500926102,11820.73801072353,44531.62377310242,20994.420551214316,8982.37210207182,1000.1426167833516,13262.735837654842,10437.004558319912,21,-12517,-70327,0.0,35,0.0,1.9908006,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.32781396663381,-12.517172499356336]}"
2_3,0,0,0,0,0,0,0,0,0,0,307,0.030712879764460067,38,26631.368075545714,7505.467252198768,40882.438615395746,63540.21880502174,0.0,17499.04919788724,199.98586864138676,26631.368075545714,31155.622545603248,41,-12605,-70795,0.0,35,0.0,6.686606,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.79546838279764,-12.605570710819306]}"
2_4,0,0,0,0,0,0,0,0,0,0,249,0.540683701917156,32,6217.592961615301,1421.4226217178514,6217.592961615301,42436.82609297853,11044.759054425429,500.05473333238734,2607.966416218775,7061.226127509876,7061.226127509876,31,-12557,-70410,0.0,41,0.0,7.263944,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.41029477436781,-12.557163948215754]}"
2_5,0,0,0,0,0,0,0,0,0,0,249,0.09971162567663126,39,1118.4380566323007,0.0,41228.60632927691,8163.831724011021,7513.373514302991,13129.14803035329,223.68761132646014,1118.4380566323007,13827.079208865558,21,-12818,-69515,0.0,35,0.0,2.8885834,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.51561498148364,-12.818632737000172]}"
2_6,0,0,0,0,0,0,0,0,0,0,213,0.11874010103009787,34,44004.95881565153,41485.83392538199,50612.307281369314,55010.78670297024,0.0,2341.87525687215,2122.167873749624,44004.95881565153,55205.10625803502,42,-13030,-68935,0.0,36,0.0,3.8304396,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.935302633717,-13.031001875997402]}"
2_7,0,0,0,0,0,0,0,0,0,0,322,0.128869170845372,41,35692.30747377836,0.0,35692.30747377836,88837.95700841892,4499.436366069053,16469.12391505076,999.8747480153452,52577.15651666539,7565.425271978995,24,-12371,-70895,0.0,34,0.0,1.3909631,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.89480870841084,-12.371147772655618]}"
2_8,0,0,0,0,0,0,0,0,0,0,233,0.08058666880393464,37,28711.235364288223,18667.422889199748,40516.34879982815,37967.45955574572,0.0,2263.627509110101,600.2348856645622,28711.235364288223,44735.511352904636,41,-12998,-69243,0.0,36,0.0,1.500902,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.24404692195301,-12.998612849234693]}"
2_9,0,0,0,0,0,0,0,0,0,0,235,0.019484386850732543,33,33139.32541811871,27422.226738484875,55728.98098523194,47424.68027645752,0.0,7786.311184841477,223.69286107015128,33139.32541811871,53081.33084467822,34,-13120,-69324,0.0,34,0.0,2.3399894,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.32443137153678,-13.119785414126646]}"
2_10,0,0,0,0,0,0,0,0,0,0,277,0.09361732751736315,35,15108.323931900915,22650.00810499303,40602.16778791651,22760.852959700893,39163.05447620563,9462.73401626084,100.03538436473366,15108.323931900915,21305.893032357268,21,-12526,-69563,0.0,37,0.0,4.723055,2017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.56252062800613,-12.52637201881769]}"
