system:index,altitude,classification,clay,cluster,distance_any,distance_buffer,distance_dep,distance_nac,distance_parks,distance_ponds,distance_rivers,distance_vec,distance_villages,landform,latitude,longitude,mined,sand,slope,type,.geo
0,251,0.4901261668257969,40,0,7596.748374484598,18149.586841188957,18018.762850758514,40307.18960282067,29404.564619077428,2334.9399897769053,1280.8533135911778,7596.748374484598,6485.754000204747,34,-12547,-70231,0,32,3.3656251,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.23202451957137,-12.546966704182868]}"
1,238,0.4771106766253825,37,0,2326.7488166246185,2326.7488166246185,46727.47040998491,2326.7488166246185,17202.77704691823,10047.393371930479,100.03474494050805,2417.4488441459316,4658.870568456781,31,-12758,-69601,0,36,4.6391487,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6011205525474,-12.75800279094789]}"
2,259,0.6775125845239394,33,0,4342.115706495366,0.0,4342.115706495366,39443.345384699795,8416.34783796912,2571.262669359891,3863.04819532128,4460.290100132922,4460.290100132922,21,-12588,-70421,0,41,2.113939,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.4209125093933,-12.588523559888671]}"
3,244,0.25359694584599424,38,0,2419.5725890478825,0.0,32511.2602314327,6042.931265478441,10620.89738366655,11129.314578284768,447.37912997534875,2419.5725890478825,15760.195894989296,24,-12766,-69453,0,37,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.45373762751952,-12.76643524818377]}"
4,850,0.49234473707969517,39,0,4876.068143197896,6434.524463644706,4876.068143197896,19066.97295101266,10374.587984806538,27051.95243962806,424.22874642918174,11263.16447471025,8221.23739688482,21,-13187,-70823,0,37,10.766107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.82374933350665,-13.188054845229471]}"
5,315,0.2904669770029034,36,0,25322.141972051544,40677.539490557436,40603.56269840999,44710.839745251775,51908.34562238456,8170.824190983486,538.6470709028199,25322.141972051544,13141.298488500564,21,-12472,-70038,0,36,0.66377926,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.03845411369764,-12.472739273083878]}"
6,256,0.48193815963468956,39,0,2023.0826476973357,2691.6665296858837,44741.70861012703,2640.999750220371,17583.69441195028,10299.23348369006,728.265783734079,2023.0826476973357,3126.7938777766535,21,-12745,-69586,0,37,3.1236758,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.586351847478,-12.745376525521463]}"
7,762,0.6017721366748117,34,0,3255.5514065880607,11499.248657096445,3255.5514065880607,16218.989598362683,13957.956157956001,26322.793400738625,199.9869331668947,7349.349734999945,6363.545246595545,21,-13234,-70790,0,43,16.796265,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.7899566684235,-13.234389971545394]}"
8,240,0.5212639331006816,34,0,8005.190622730354,17210.435969201942,50412.38285459363,17173.766584623336,30557.612512320477,5144.685778335981,412.4492108884438,8005.190622730354,11838.251792718911,21,-12637,-69661,0,39,6.63919,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.6616075084012,-12.63669046075223]}"
9,230,0.1798685787649769,38,0,7894.4131654330395,3650.8808750851485,64702.12600575086,12297.20810349345,0.0,3009.3301739262715,1456.510033114259,7894.4131654330395,29818.044194775124,24,-12975,-69668,0,33,1.0586395,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.66802453162461,-12.975760427485438]}"
10,306,0.23966047176993865,38,0,24540.985962123937,39949.19842067049,39859.817105202026,44214.71832548029,51184.5824429904,7389.607112383624,400.09633605545554,24540.985962123937,12570.444930237778,21,-12477,-70043,0,35,2.5478282,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.04399282648295,-12.477238760977157]}"
11,255,0.5069184885356953,38,0,200.0701927605659,4062.2132904837495,43503.76711895234,4001.403855211318,19230.16993803495,8186.392144334421,700.2456746619806,200.0701927605659,1414.7099001429585,21,-12725,-69580,0,37,2.5499732,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.58078154145682,-12.72639961205929]}"
