system:index,cluster,sum,year,.geo
0_0,1.0,2.305047660546875E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_1,2.0,7630265.3955078125,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_2,3.0,4.084924914160156E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_3,4.0,3.1783493112304688E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_4,5.0,3.1083474659179688E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_5,6.0,1.159225083203125E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_6,7.0,8402932.525390625,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_7,8.0,3.5504637150390625E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_8,9.0,2.5819406751953125E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_9,10.0,3.552746057714844E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_10,11.0,2.0930261421875E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_11,12.0,9044788.870117188,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
0_12,13.0,3.0959144715820312E7,2011.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_0,1.0,1.9059639198242188E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_1,2.0,6010246.015625,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
1_2,3.0,2.4605130477539062E7,2012.0,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.9298385399701,-13.250798890849618],[-68.8973678368451,-13.250798890849618],[-68.8973678368451,-12.348210982418081],[-70.9298385399701,-12.348210982418081],[-70.9298385399701,-13.250798890849618]]]}"
