system:index,area,cluster,year,.geo
0_0,872.898953945517,1.0,2011.0,
0_1,212.38436888252164,2.0,2011.0,
0_2,1035.4705498060741,3.0,2011.0,
0_3,1409.3548400230686,4.0,2011.0,
0_4,1295.8083927025746,5.0,2011.0,
0_5,333.57422174999664,6.0,2011.0,
0_6,173.5681833448352,7.0,2011.0,
0_7,698.423990839827,8.0,2011.0,
0_8,509.74032327260426,9.0,2011.0,
0_9,1967.9562762884605,10.0,2011.0,
0_10,1394.358267657296,11.0,2011.0,
0_11,220.81221459978792,12.0,2011.0,
0_12,670.4416958044601,13.0,2011.0,
1_0,521.139118907872,1.0,2012.0,
1_1,187.35217639419554,2.0,2012.0,
1_2,556.7754880328755,3.0,2012.0,
1_3,880.7521441988664,4.0,2012.0,
1_4,902.2636150384255,5.0,2012.0,
1_5,493.3507124208274,6.0,2012.0,
1_6,163.25068373330672,7.0,2012.0,
1_7,418.26968496590155,8.0,2012.0,
1_8,218.04169927771167,9.0,2012.0,
1_9,1722.4587597894067,10.0,2012.0,
1_10,1264.6660324931563,11.0,2012.0,
1_11,281.7096320930653,12.0,2012.0,
1_12,609.2859125907146,13.0,2012.0,
2_0,410.4589516666519,1.0,2013.0,
2_1,309.6125277294451,2.0,2013.0,
2_2,633.546336354997,3.0,2013.0,
2_3,849.0224030044731,4.0,2013.0,
2_4,807.0250057842778,5.0,2013.0,
2_5,300.85242109736055,6.0,2013.0,
2_6,206.12623124143082,7.0,2013.0,
2_7,847.226489966117,8.0,2013.0,
2_8,452.4525108665113,9.0,2013.0,
2_9,1000.0611309687366,10.0,2013.0,
2_10,617.4922685831389,11.0,2013.0,
2_11,352.4290442642773,12.0,2013.0,
2_12,1052.7616242809295,13.0,2013.0,
3_0,603.4440066138034,1.0,2014.0,
3_1,436.07102370574387,2.0,2014.0,
3_2,839.1946206515414,3.0,2014.0,
3_3,987.4693220712392,4.0,2014.0,
3_4,982.1082531155465,5.0,2014.0,
3_5,540.6052526834119,6.0,2014.0,
3_6,488.24288330923076,7.0,2014.0,
3_7,536.1039406706828,8.0,2014.0,
3_8,249.6348011557842,9.0,2014.0,
3_9,1120.6754644587268,10.0,2014.0,
3_10,1162.6949023808681,11.0,2014.0,
3_11,553.1672242920548,12.0,2014.0,
3_12,1177.9999654310836,13.0,2014.0,
4_0,464.05025118735847,1.0,2015.0,
4_1,345.59715555411304,2.0,2015.0,
4_2,1002.8838218161685,3.0,2015.0,
4_3,764.931015097479,4.0,2015.0,
4_4,720.44904850451,5.0,2015.0,
4_5,326.04019853826816,6.0,2015.0,
4_6,234.59307048657126,7.0,2015.0,
4_7,1180.5706273934995,8.0,2015.0,
4_8,662.0185017244885,9.0,2015.0,
4_9,1509.6540775933702,10.0,2015.0,
4_10,1988.9264579059045,11.0,2015.0,
4_11,309.2013621804313,12.0,2015.0,
4_12,1303.191545208317,13.0,2015.0,
