area,cluster,year
10794.79228,0,2011
872.8989539,1,2011
212.3843689,2,2011
1035.47055,3,2011
1409.35484,4,2011
1295.808393,5,2011
333.5742217,6,2011
173.5681833,7,2011
698.4239908,8,2011
509.7403233,9,2011
1967.956276,10,2011
1394.358268,11,2011
220.8122146,12,2011
670.4416958,13,2011
8219.31566,0,2012
521.1391189,1,2012
187.3521764,2,2012
556.775488,3,2012
880.7521442,4,2012
902.263615,5,2012
493.3507124,6,2012
163.2506837,7,2012
418.269685,8,2012
218.0416993,9,2012
1722.45876,10,2012
1264.666032,11,2012
281.7096321,12,2012
609.2859126,13,2012
7839.066946,0,2013
410.4589517,1,2013
309.6125277,2,2013
633.5463364,3,2013
849.022403,4,2013
807.0250058,5,2013
300.8524211,6,2013
206.1262312,7,2013
847.22649,8,2013
452.4525109,9,2013
1000.061131,10,2013
617.4922686,11,2013
352.4290443,12,2013
1052.761624,13,2013
9677.411661,0,2014
603.4440066,1,2014
436.0710237,2,2014
839.1946207,3,2014
987.4693221,4,2014
982.1082531,5,2014
540.6052527,6,2014
488.2428833,7,2014
536.1039407,8,2014
249.6348012,9,2014
1120.675464,10,2014
1162.694902,11,2014
553.1672243,12,2014
1177.999965,13,2014
10812.10713,0,2015
464.0502512,1,2015
345.5971556,2,2015
1002.883822,3,2015
764.9310151,4,2015
720.4490485,5,2015
326.0401985,6,2015
234.5930705,7,2015
1180.570627,8,2015
662.0185017,9,2015
1509.654078,10,2015
1988.926458,11,2015
309.2013622,12,2015
1303.191545,13,2015
