,Unnamed: 0,AREA,IN,STRATEGY,metric,score,mode
0,0,big,in,cluster,AUC,0.9681114254862564,long
1,1,big,in,cluster,ACC,0.9000653167864141,long
2,2,big,in,cluster,REC,0.9282814614343708,long
3,3,big,in,cluster,F1,0.899672131147541,long
4,4,big,in,strata,AUC,0.9733279277230352,long
5,5,big,in,strata,ACC,0.9293966623876764,long
6,6,big,in,strata,REC,0.9610894941634242,long
7,7,big,in,strata,F1,0.9309045226130654,long
8,8,small,in,cluster,AUC,0.9415050068534876,long
9,9,small,in,cluster,ACC,0.8651515151515151,long
10,10,small,in,cluster,REC,0.8059701492537313,long
11,11,small,in,cluster,F1,0.8291746641074855,long
12,12,small,in,strata,AUC,0.946146777522897,long
13,13,small,in,strata,ACC,0.8661468486029891,long
14,14,small,in,strata,REC,0.8825857519788918,long
15,15,small,in,strata,F1,0.8665803108808291,long
16,16,small_out,out,cluster,AUC,0.8008659999999999,long
17,17,small_out,out,cluster,ACC,0.722,long
18,18,small_out,out,cluster,REC,0.677,long
19,19,small_out,out,cluster,F1,0.7089005235602095,long
20,20,small_out,out,strata,AUC,0.786796,long
21,21,small_out,out,strata,ACC,0.716,long
22,22,small_out,out,strata,REC,0.76,long
23,23,small_out,out,strata,F1,0.7279693486590039,long
24,0,big,in,cluster,AUC,0.9786293165364599,short
25,1,big,in,cluster,ACC,0.9417524062396284,short
26,2,big,in,cluster,REC,0.943894389438944,short
27,3,big,in,cluster,F1,0.9421841541755888,short
28,4,big,in,strata,AUC,0.9767259485767488,short
29,5,big,in,strata,ACC,0.9368980405181004,short
30,6,big,in,strata,REC,0.9470742932281394,short
31,7,big,in,strata,F1,0.9381309019863238,short
32,8,small,in,cluster,AUC,0.9521778040208058,short
33,9,small,in,cluster,ACC,0.8848333333333334,short
34,10,small,in,cluster,REC,0.8949983438224578,short
35,11,small,in,cluster,F1,0.8866283839212469,short
36,12,small,in,strata,AUC,0.949259919144919,short
37,13,small,in,strata,ACC,0.8878797886393659,short
38,14,small,in,strata,REC,0.8948419301164725,short
39,15,small,in,strata,F1,0.8878982994881955,short
40,16,small_out,out,cluster,AUC,0.9308977777777778,short
41,17,small_out,out,cluster,ACC,0.8063333333333333,short
42,18,small_out,out,cluster,REC,0.6406666666666667,short
43,19,small_out,out,cluster,F1,0.7678785457451058,short
44,20,small_out,out,strata,AUC,0.9489893333333336,short
45,21,small_out,out,strata,ACC,0.8006666666666666,short
46,22,small_out,out,strata,REC,0.6186666666666667,short
47,23,small_out,out,strata,F1,0.756316218418908,short
